tpy:CQ11_00010	rRNA	750..866	5S ribosomal RNA
tpy:CQ11_05955	CDS	1253422..1254063	hypothetical protein
tpy:CQ11_05960	CDS	complement(1254235..1255353)	methyltransferase
tpy:CQ11_05965	CDS	complement(1255447..1257234)	glycine/betaine ABC transporter
tpy:CQ11_05970	CDS	1257377..1258618	membrane protein
tpy:CQ11_05975	CDS	1258626..1259354	hypothetical protein
tpy:CQ11_05980	CDS	1259413..1259997	hypothetical protein
tpy:CQ11_05985	CDS	complement(1260119..1263397)	lysyl-tRNA synthetase
tpy:CQ11_05990	CDS	1263597..1265252	L-lactate permease
tpy:CQ11_05995	CDS	1265267..1266055	Fe-S osidoreductase
tpy:CQ11_06000	CDS	1266052..1267608	(4Fe-4S) protein
tpy:CQ11_06005	CDS	1267605..1268228	hypothetical protein
tpy:CQ11_06010	CDS	complement(1268288..1269625)	membrane protein
tpy:CQ11_06015	CDS	1269886..1270926	hypothetical protein
tpy:CQ11_06020	CDS	1270926..1271945	membrane protein
tpy:CQ11_06025	CDS	complement(1271983..1272243)	phosphotransferase
tpy:CQ11_06030	CDS	complement(1272296..1272781)	PTS N-acetylmuramic acid transporter subunit IIBC
tpy:CQ11_06035	CDS	complement(1272784..1274376)	PTS N-acetylglucosamine transporter subunit IIABC
tpy:CQ11_06040	gene	complement(1274223..1275224)	pseudogene
tpy:CQ11_06045	CDS	1275798..1276139	hypothetical protein
tpy:CQ11_06050	CDS	1276154..1277023	hypothetical protein
tpy:CQ11_06055	CDS	complement(1277039..1277653)	ADP-ribose pyrophosphatase
tpy:CQ11_06060	CDS	complement(1277658..1278647)	hypothetical protein
tpy:CQ11_06065	CDS	complement(1278657..1280348)	phosphoenolpyruvate-protein phosphotransferase
tpy:CQ11_06070	CDS	complement(1280345..1280608)	phosphotransferase
tpy:CQ11_06075	CDS	complement(1280651..1281520)	transcription antiterminator BglG
tpy:CQ11_06080	CDS	complement(1281525..1283543)	PTS mannose transporter subunit IIABC
tpy:CQ11_06085	CDS	complement(1283602..1283874)	hypothetical protein
tpy:CQ11_06090	CDS	complement(1283883..1286057)	membrane protein
tpy:CQ11_06095	CDS	complement(1286054..1286914)	UbiD family decarboxylase
tpy:CQ11_06100	CDS	complement(1286998..1288359)	hypothetical protein
tpy:CQ11_06105	CDS	complement(1288368..1288649)	hypothetical protein
tpy:CQ11_06110	CDS	complement(1288695..1290284)	hypothetical protein
tpy:CQ11_06115	CDS	1290387..1290983	transcriptional regulator
tpy:CQ11_06120	CDS	complement(1291036..1291158)	50S ribosomal protein L36
tpy:CQ11_06125	CDS	complement(1291155..1291409)	50S ribosomal protein L31
tpy:CQ11_06130	CDS	complement(1291443..1291748)	30S ribosomal protein S14
tpy:CQ11_06135	CDS	complement(1291757..1291924)	50S ribosomal protein L33
tpy:CQ11_06140	CDS	complement(1291924..1292160)	50S ribosomal protein L28
tpy:CQ11_06145	CDS	1292207..1293211	hypothetical protein
tpy:CQ11_06150	CDS	complement(1293272..1293958)	hypothetical protein
tpy:CQ11_06155	CDS	complement(1294191..1295591)	sugar transporter
tpy:CQ11_06160	CDS	complement(1295588..1297336)	hypothetical protein
tpy:CQ11_06165	CDS	1297447..1298151	hypothetical protein
tpy:CQ11_06170	CDS	complement(1298205..1298990)	fecE; iron-dicitrate transporter ATP-binding subunit
tpy:CQ11_06175	CDS	complement(1298987..1299967)	iron ABC transporter permease
tpy:CQ11_06180	CDS	complement(1299964..1300932)	iron ABC transporter permease
tpy:CQ11_06185	CDS	complement(1300956..1301873)	iron siderophore-binding protein
tpy:CQ11_06190	CDS	1301982..1302224	hypothetical protein
tpy:CQ11_06195	CDS	1302221..1303174	hypothetical protein
tpy:CQ11_06200	CDS	1303222..1303929	carboxylesterase
tpy:CQ11_06205	CDS	complement(1304061..1304417)	iron ABC transporter
tpy:CQ11_06210	CDS	complement(1304744..1305613)	siderophore synthetase
tpy:CQ11_06215	gene	1305923..1306237	pseudogene
tpy:CQ11_06220	CDS	1306228..1306521	addiction module antitoxin
tpy:CQ11_06225	CDS	1306628..1307044	hypothetical protein
tpy:CQ11_06230	tRNA	complement(1307308..1307383)	tRNA-Ala
tpy:CQ11_06235	CDS	complement(1307444..1308070)	hypothetical protein
tpy:CQ11_06240	CDS	complement(1308067..1309086)	hypothetical protein
tpy:CQ11_06245	CDS	complement(1309146..1310360)	molybdenum cofactor biosynthesis protein MoaA
tpy:CQ11_06250	CDS	1310444..1311091	5-formyltetrahydrofolate cyclo-ligase
tpy:CQ11_06255	CDS	1311247..1311852	hypothetical protein
tpy:CQ11_06260	CDS	complement(1311849..1312130)	hypothetical protein
tpy:CQ11_06265	CDS	complement(1312123..1316655)	hypothetical protein
tpy:CQ11_06270	CDS	complement(1316826..1317773)	hypothetical protein
tpy:CQ11_06275	tRNA	complement(1317975..1318047)	tRNA-Arg
tpy:CQ11_06280	CDS	complement(1318095..1319036)	universal stress protein
tpy:CQ11_06285	CDS	complement(1319153..1319869)	hydrolase
tpy:CQ11_06290	CDS	complement(1319985..1320662)	dihydrofolate reductase
tpy:CQ11_06295	CDS	1320769..1321851	phosphoserine aminotransferase
tpy:CQ11_06300	CDS	complement(1322000..1323469)	permease
tpy:CQ11_06305	CDS	complement(1323591..1324838)	mannose-6-phosphate isomerase
tpy:CQ11_06310	CDS	complement(1324840..1325628)	hypothetical protein
tpy:CQ11_06315	CDS	complement(1325621..1325995)	cold-shock protein
tpy:CQ11_06320	CDS	1326176..1328116	hypothetical protein
tpy:CQ11_06325	CDS	1328153..1328908	hypothetical protein
tpy:CQ11_06330	CDS	1328988..1329545	nuclease
tpy:CQ11_06335	CDS	1329607..1330344	alkaline phosphatase
tpy:CQ11_06340	CDS	1330357..1331922	hypothetical protein
tpy:CQ11_06345	CDS	complement(1331951..1332673)	acyl-phosphate glycerol 3-phosphate acyltransferase
tpy:CQ11_06350	CDS	complement(1332670..1333458)	short-chain dehydrogenase
tpy:CQ11_06355	CDS	1333561..1334574	hypothetical protein
tpy:CQ11_06360	CDS	complement(1335830..1337455)	groEL; molecular chaperone GroEL
tpy:CQ11_06365	CDS	complement(1337724..1338335)	LytR family transcriptional regulator
tpy:CQ11_06370	CDS	complement(1338345..1338671)	hypothetical protein
tpy:CQ11_06375	CDS	1338732..1339400	uracil-DNA glycosylase
tpy:CQ11_06380	gene	complement(1339423..1340769)	pseudogene
tpy:CQ11_06385	CDS	1340960..1342189	hypothetical protein
tpy:CQ11_06390	CDS	1342538..1344799	hypothetical protein
tpy:CQ11_06395	tRNA	complement(1345161..1345236)	tRNA-Thr
tpy:CQ11_06400	CDS	complement(1345335..1346159)	hypothetical protein
tpy:CQ11_06405	CDS	complement(1346232..1347770)	serine/threonine protein kinase
tpy:CQ11_06410	CDS	1348029..1349216	sugar ABC transporter ATP-binding protein
tpy:CQ11_06415	CDS	1349351..1350622	lipopolysaccharide kinase
tpy:CQ11_06420	CDS	complement(1350619..1351722)	oxidoreductase
tpy:CQ11_06425	CDS	complement(1351755..1352915)	hypothetical protein
tpy:CQ11_06430	CDS	1353045..1354295	ABC transporter substrate-binding protein
tpy:CQ11_06440	CDS	1354464..1355291	sugar ABC transporter permease
tpy:CQ11_06445	CDS	1355291..1356100	sugar ABC transporter permease
tpy:CQ11_06450	CDS	1356107..1357807	hypothetical protein
tpy:CQ11_06455	CDS	complement(1357943..1358758)	hypothetical protein
tpy:CQ11_06460	CDS	complement(1358888..1359982)	aspartate-semialdehyde dehydrogenase
tpy:CQ11_06465	CDS	complement(1359979..1361253)	aspartate kinase
tpy:CQ11_06470	CDS	complement(1361318..1361935)	recombinase RecR
tpy:CQ11_06475	CDS	complement(1361935..1364286)	DNA polymerase III subunit gamma/tau
tpy:CQ11_06480	CDS	complement(1364472..1364675)	hypothetical protein
tpy:CQ11_06485	CDS	complement(1364702..1367083)	carbon starvation protein CstA
tpy:CQ11_06490	CDS	complement(1367690..1368439)	CAAX protease
tpy:CQ11_06495	tRNA	complement(1368568..1368655)	tRNA-Ser
tpy:CQ11_06500	CDS	1368906..1369517	hypothetical protein
tpy:CQ11_06505	CDS	complement(1369586..1370947)	nitrate reductase
tpy:CQ11_06510	CDS	complement(1371086..1371607)	hypothetical protein
tpy:CQ11_06515	CDS	complement(1371600..1372871)	hypothetical protein
tpy:CQ11_06520	CDS	complement(1372917..1373903)	RNA methyltransferase
tpy:CQ11_06525	CDS	complement(1373887..1375314)	cysteinyl-tRNA synthetase
tpy:CQ11_06530	CDS	1375403..1376758	membrane protein
tpy:CQ11_06535	CDS	complement(1377193..1377618)	ABC transporter ATP-binding protein
tpy:CQ11_06540	CDS	1377640..1378602	hypothetical protein
tpy:CQ11_06545	CDS	complement(1378682..1379302)	Dak phosphatase
tpy:CQ11_06550	CDS	complement(1379311..1380318)	dihydroxyacetone kinase
tpy:CQ11_06555	CDS	complement(1380351..1380992)	phosphoglycerate kinase
tpy:CQ11_06560	CDS	complement(1381010..1381684)	aldolase
tpy:CQ11_06565	CDS	complement(1381738..1383090)	PTS galactitol transporter subunit IIC
tpy:CQ11_06570	CDS	complement(1383117..1383410)	PTS galactitol transporter subunit IIB
tpy:CQ11_06575	CDS	complement(1383473..1383946)	PTS sugar transporter subunit IIA
tpy:CQ11_06580	CDS	complement(1384556..1385599)	hypothetical protein
tpy:CQ11_06585	CDS	complement(1385596..1386207)	hypothetical protein
tpy:CQ11_06590	CDS	complement(1386200..1387513)	phage resistance protein
tpy:CQ11_06595	CDS	complement(1387611..1388078)	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
tpy:CQ11_06600	CDS	complement(1388075..1388797)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
tpy:CQ11_06610	CDS	complement(1389475..1390170)	XRE family transcriptional regulator
tpy:CQ11_06615	CDS	complement(1390167..1391360)	histidine kinase
tpy:CQ11_06620	CDS	1391531..1392196	PhoU family transcriptional regulator
tpy:CQ11_06625	CDS	complement(1392279..1393019)	gpmA; phosphoglyceromutase
tpy:CQ11_06630	CDS	complement(1393066..1394001)	fimbrial protein
tpy:CQ11_06635	CDS	complement(1393998..1394870)	fimbrial protein
tpy:CQ11_06640	CDS	complement(1394959..1396710)	hypothetical protein
tpy:CQ11_06645	CDS	complement(1396744..1400121)	hypothetical protein
tpy:CQ11_06650	CDS	complement(1400279..1401334)	hypothetical protein
tpy:CQ11_06655	CDS	1401403..1401882	DNA lyase
tpy:CQ11_06660	CDS	complement(1402046..1403236)	MFS transporter
tpy:CQ11_06665	CDS	complement(1403241..1404248)	ABC transporter substrate-binding protein
tpy:CQ11_06670	CDS	complement(1404284..1405045)	histidinol phosphatase
tpy:CQ11_06675	CDS	complement(1405042..1406028)	ABC transporter permease
tpy:CQ11_06680	CDS	1406414..1406599	hypothetical protein
tpy:CQ11_06685	CDS	1406596..1406970	hypothetical protein
tpy:CQ11_06690	CDS	1407069..1408913	sulfatase
tpy:CQ11_06695	CDS	1408993..1410846	sulfatase
tpy:CQ11_06700	CDS	1410863..1411972	cytochrome C oxidase subunit IV
tpy:CQ11_06710	CDS	complement(1412785..1413756)	ferrochelatase
tpy:CQ11_06715	CDS	complement(1413820..1414779)	alcohol dehydrogenase
tpy:CQ11_06720	CDS	1414953..1415399	hypothetical protein
tpy:CQ11_06725	CDS	complement(1415396..1416217)	hypothetical protein
tpy:CQ11_06730	CDS	complement(1416214..1416918)	hypothetical protein
tpy:CQ11_06735	CDS	complement(1416918..1417976)	hypothetical protein
tpy:CQ11_06740	CDS	complement(1417973..1418941)	hypothetical protein
tpy:CQ11_06745	CDS	complement(1418935..1419390)	hypothetical protein
tpy:CQ11_06750	CDS	complement(1419383..1420273)	hypothetical protein
tpy:CQ11_06755	CDS	complement(1420270..1421271)	ATPase AAA
tpy:CQ11_06760	CDS	1421398..1421982	hypothetical protein
tpy:CQ11_06765	CDS	1421982..1422758	hypothetical protein
tpy:CQ11_06770	CDS	complement(1422890..1423939)	aminotransferase
tpy:CQ11_06775	CDS	1424032..1424430	membrane protein
tpy:CQ11_06780	CDS	1424717..1426117	adenylosuccinate lyase
tpy:CQ11_06785	CDS	1426123..1426770	membrane protein
tpy:CQ11_06790	CDS	1426805..1428268	hypothetical protein
tpy:CQ11_06795	CDS	1428469..1428693	hypothetical protein
tpy:CQ11_06800	CDS	1428693..1430987	carbonate dehydratase
tpy:CQ11_06805	CDS	1431020..1433677	hypothetical protein
tpy:CQ11_06810	CDS	1433905..1435584	phosphoglucomutase
tpy:CQ11_06815	CDS	1435971..1436540	TetR family transcriptional regulator
tpy:CQ11_06820	CDS	1436683..1438437	ABC transporter ATP-binding protein
tpy:CQ11_06825	CDS	1438434..1440152	ABC transporter
tpy:CQ11_06830	CDS	1440149..1441699	ABC transporter
tpy:CQ11_06835	CDS	1441675..1442385	membrane protein
tpy:CQ11_06840	CDS	1442459..1443058	membrane protein
tpy:CQ11_06845	CDS	1443398..1444531	alcohol dehydrogenase
tpy:CQ11_06850	CDS	complement(1444586..1444924)	hypothetical protein
tpy:CQ11_06855	CDS	1445871..1447313	antiporter
tpy:CQ11_06860	CDS	1447306..1448088	inositol monophosphatase
tpy:CQ11_06865	CDS	complement(1448170..1449159)	LacI family transcriptional regulator
tpy:CQ11_06870	CDS	complement(1449250..1450272)	ribose ABC transporter permease
tpy:CQ11_06875	CDS	complement(1450269..1451792)	D-ribose transporter ATP-binding protein
tpy:CQ11_06880	CDS	complement(1451847..1452896)	dehydrogenase
tpy:CQ11_06885	CDS	complement(1453236..1454099)	inosose dehydratase
tpy:CQ11_06890	CDS	complement(1454154..1455140)	inositol 2-dehydrogenase
tpy:CQ11_06895	CDS	complement(1455192..1456271)	transaldolase
tpy:CQ11_06900	CDS	complement(1456540..1457310)	GntR family transcriptional regulator
tpy:CQ11_06905	CDS	1457481..1458461	5-dehydro-2-deoxygluconokinase
tpy:CQ11_06910	CDS	1458461..1459324	deoxyribose-phosphate aldolase
tpy:CQ11_06915	CDS	1459321..1460217	5-deoxyglucuronate isomerase
tpy:CQ11_06920	CDS	1460214..1462094	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase
tpy:CQ11_06925	CDS	1462104..1463600	methylmalonate-semialdehyde dehydrogenase
tpy:CQ11_06930	CDS	complement(1463825..1464583)	iron ABC transporter ATP-binding protein
tpy:CQ11_06935	CDS	complement(1464580..1465539)	hypothetical protein
tpy:CQ11_06940	CDS	complement(1465567..1466517)	iron ABC transporter permease
tpy:CQ11_06945	CDS	complement(1466672..1467679)	iron ABC transporter substrate-binding protein
tpy:CQ11_06950	CDS	1467997..1469448	6-phosphogluconate dehydrogenase
tpy:CQ11_06955	CDS	1469738..1472053	oxidoreductase
tpy:CQ11_06960	CDS	1472086..1473363	sugar-binding protein
tpy:CQ11_06965	CDS	1473360..1474319	sugar ABC transporter permease
tpy:CQ11_06970	CDS	1474312..1475163	sugar ABC transporter permease
tpy:CQ11_06975	CDS	1475183..1476211	tdh; L-threonine 3-dehydrogenase
tpy:CQ11_06980	CDS	1476228..1477415	2-amino-3-ketobutyrate CoA ligase
tpy:CQ11_06985	CDS	complement(1477516..1478829)	membrane protein
tpy:CQ11_06990	CDS	complement(1478826..1479473)	C4-dicarboxylate ABC transporter permease
tpy:CQ11_06995	CDS	complement(1479470..1480510)	C4-dicarboxylate ABC transporter
tpy:CQ11_07000	CDS	1481022..1482440	glucuronate isomerase
tpy:CQ11_07005	CDS	complement(1482586..1483857)	hypothetical protein
tpy:CQ11_07010	CDS	complement(1483936..1484175)	hypothetical protein
tpy:CQ11_07015	CDS	complement(1484643..1485404)	copper homeostasis protein CutC
tpy:CQ11_07020	CDS	complement(1485398..1486870)	MlrC
tpy:CQ11_07025	CDS	complement(1486874..1488169)	alpha-L-fucosidase
tpy:CQ11_07030	CDS	complement(1488170..1489396)	hypothetical protein
tpy:CQ11_07035	CDS	1489520..1491334	peptide ABC transporter substrate-binding protein
tpy:CQ11_07040	CDS	1491385..1492347	diguanylate cyclase
tpy:CQ11_07045	CDS	1492344..1493291	peptide ABC transporter permease
tpy:CQ11_07050	CDS	1493294..1495303	peptide ABC transporter ATP-binding protein
tpy:CQ11_07055	CDS	complement(1495328..1496236)	glucokinase
tpy:CQ11_07060	CDS	complement(1496277..1497437)	hypothetical protein
tpy:CQ11_07065	CDS	1497670..1498995	ABC transporter substrate-binding protein
tpy:CQ11_07070	CDS	1499079..1500050	ABC transporter permease
tpy:CQ11_07075	CDS	1500043..1500981	ABC transporter permease
tpy:CQ11_07080	CDS	1501023..1503182	D-galactosyl-beta-1-3-N-acetyl-D-hexosamine phosphorylase
tpy:CQ11_07085	CDS	1503182..1504297	hypothetical protein
tpy:CQ11_07090	CDS	1504297..1505781	galactose-1-phosphate uridylyltransferase
tpy:CQ11_07095	CDS	1506556..1506972	hypothetical protein
tpy:CQ11_07100	CDS	complement(1507121..1507303)	hypothetical protein
tpy:CQ11_07105	CDS	complement(1507300..1507806)	hypothetical protein
tpy:CQ11_07110	CDS	1508211..1508483	hypothetical protein
tpy:CQ11_07120	CDS	1509227..1509580	hypothetical protein
tpy:CQ11_07125	CDS	complement(1509616..1510554)	hypothetical protein
tpy:CQ11_07130	CDS	complement(1510568..1510921)	hypothetical protein
tpy:CQ11_07135	CDS	complement(1510983..1511768)	chromosome partitioning protein
tpy:CQ11_07140	CDS	complement(1511894..1512841)	hypothetical protein
tpy:CQ11_07145	CDS	complement(1512825..1513679)	integrase
tpy:CQ11_07150	CDS	1514388..1515962	transcriptional regulator
tpy:CQ11_07155	CDS	complement(1517008..1518750)	ABC transporter
tpy:CQ11_07160	CDS	complement(1518762..1520558)	iron ABC transporter ATP-binding protein
tpy:CQ11_07165	CDS	complement(1520575..1522020)	ABC transporter ATP-binding protein
tpy:CQ11_07170	CDS	complement(1522017..1522823)	cobalt ABC transporter permease
tpy:CQ11_07175	CDS	complement(1522823..1523389)	permease
tpy:CQ11_07180	CDS	complement(1523484..1523885)	hypothetical protein
tpy:CQ11_07185	CDS	1524263..1525828	carboxylate transporter
tpy:CQ11_07190	CDS	1526081..1527097	hypothetical protein
tpy:CQ11_07195	tRNA	1527355..1527427	tRNA-Arg
tpy:CQ11_07200	CDS	1527487..1528056	NUDIX hydrolase
tpy:CQ11_07205	CDS	complement(1528169..1529140)	cytochrome C2
tpy:CQ11_07210	CDS	complement(1529228..1530133)	hydroxyacid dehydrogenase
tpy:CQ11_07215	CDS	1530464..1531969	ABC transporter ATP-binding protein
tpy:CQ11_07220	CDS	1531962..1532969	sugar ABC transporter permease
tpy:CQ11_07225	CDS	1532972..1533997	autoinducer 2 import system permease LsrD
tpy:CQ11_07230	CDS	1534017..1535081	autoinducer 2-binding protein lsrB
tpy:CQ11_07235	CDS	1535101..1536048	DeoR faimly transcriptional regulator
tpy:CQ11_07240	CDS	1536059..1537618	autoinducer kinase
tpy:CQ11_07245	CDS	1537631..1538002	cupin
tpy:CQ11_07250	CDS	1538030..1538914	autoinducer 2 aldolase
tpy:CQ11_07255	CDS	complement(1539004..1539246)	hypothetical protein
tpy:CQ11_07265	CDS	1540062..1540727	hypothetical protein
tpy:CQ11_07270	CDS	complement(1540900..1542312)	NADH dehydrogenase
tpy:CQ11_07275	CDS	complement(1542582..1543091)	hypothetical protein
tpy:CQ11_07280	CDS	complement(1543088..1543774)	nitroreductase
tpy:CQ11_07285	CDS	complement(1543915..1544130)	hypothetical protein
tpy:CQ11_07295	CDS	1544987..1545244	hypothetical protein
tpy:CQ11_07300	CDS	1545625..1546149	membrane protein
tpy:CQ11_07305	CDS	complement(1546316..1547524)	hypothetical protein
tpy:CQ11_07310	CDS	complement(1547780..1549087)	23S rRNA methyltransferase
tpy:CQ11_07315	CDS	complement(1549233..1551725)	ATP-dependent helicase
tpy:CQ11_07320	CDS	complement(1551715..1552335)	transcriptional regulator
tpy:CQ11_07325	CDS	complement(1552464..1553132)	potassium transporter
tpy:CQ11_07330	CDS	complement(1553134..1554570)	ATPase
tpy:CQ11_07335	CDS	1554617..1556818	hypothetical protein
tpy:CQ11_07340	CDS	1556970..1558295	hypothetical protein
tpy:CQ11_07345	CDS	complement(1558314..1559342)	membrane protein
tpy:CQ11_07350	CDS	complement(1559360..1559968)	AcrR family transcriptional regulator
tpy:CQ11_07355	CDS	complement(1560086..1560511)	membrane protein
tpy:CQ11_07360	CDS	complement(1562917..1563966)	hypothetical protein
tpy:CQ11_07365	CDS	complement(1563966..1564454)	hypothetical protein
tpy:CQ11_07370	CDS	1564652..1565323	transcriptional regulator
tpy:CQ11_07380	gene	complement(1566654..1567871)	pseudogene
tpy:CQ11_07385	CDS	complement(1567875..1568567)	membrane protein
tpy:CQ11_07390	CDS	complement(1568750..1569439)	deoxyguanosine kinase
tpy:CQ11_07395	CDS	complement(1569569..1570363)	hypothetical protein
tpy:CQ11_07400	CDS	complement(1570380..1570883)	hypothetical protein
tpy:CQ11_07405	CDS	complement(1570975..1572177)	hypothetical protein
tpy:CQ11_07410	CDS	1572273..1573517	threonine dehydratase
tpy:CQ11_07415	CDS	1573551..1574345	hypothetical protein
tpy:CQ11_07420	CDS	1574405..1574983	acyltransferase
tpy:CQ11_07425	CDS	1574980..1576350	alpha/beta hydrolase
tpy:CQ11_07430	CDS	1576407..1577213	oxidoreductase
tpy:CQ11_07435	CDS	1577295..1578227	phosphomethylpyrimidine kinase
tpy:CQ11_07440	CDS	1578239..1578907	hypothetical protein
tpy:CQ11_07450	CDS	1579891..1580667	thiamine biosynthesis protein ThiF
tpy:CQ11_07455	CDS	1580670..1581494	hypothetical protein
tpy:CQ11_07460	CDS	complement(1581469..1582758)	MFS transporter
tpy:CQ11_07465	CDS	complement(1582860..1584194)	helicase DnaB
tpy:CQ11_07470	CDS	1584636..1585169	hypothetical protein
tpy:CQ11_07475	CDS	1585178..1586488	multidrug transporter
tpy:CQ11_07480	CDS	1586571..1589231	metallophosphatase
tpy:CQ11_07485	CDS	complement(1589518..1589964)	50S ribosomal protein L9
tpy:CQ11_07490	CDS	complement(1589982..1590203)	30S ribosomal protein S18
tpy:CQ11_07495	CDS	complement(1590305..1590859)	single-stranded DNA-binding protein
tpy:CQ11_07500	CDS	complement(1590874..1591182)	30S ribosomal protein S6
tpy:CQ11_07505	CDS	complement(1591329..1593506)	penicillin-binding protein
tpy:CQ11_07510	CDS	complement(1593516..1594733)	membrane protein
tpy:CQ11_07515	CDS	complement(1594780..1596090)	MFS transporter
tpy:CQ11_07520	CDS	complement(1596090..1597592)	RNA nucleotidyltransferase
tpy:CQ11_07525	CDS	1597663..1598184	NUDIX hydrolase
tpy:CQ11_07530	CDS	1598184..1600094	hypothetical protein
tpy:CQ11_07535	CDS	1600165..1602102	hypothetical protein
tpy:CQ11_07540	CDS	1602112..1603035	thioredoxin reductase
tpy:CQ11_07545	CDS	1603168..1604490	GntR family transcriptional regulator
tpy:CQ11_07550	CDS	1604495..1605457	D-alanine--D-alanine ligase
tpy:CQ11_07555	CDS	complement(1605466..1606653)	chromosome partitioning protein ParB
tpy:CQ11_07560	CDS	complement(1606663..1607592)	chromosome partitioning protein
tpy:CQ11_07565	CDS	complement(1607764..1608405)	16S rRNA methyltransferase
tpy:CQ11_07570	CDS	complement(1608459..1608962)	single-stranded DNA-binding protein
tpy:CQ11_07575	CDS	complement(1608975..1610120)	preprotein translocase subunit YidC
tpy:CQ11_07585	CDS	complement(1610447..1610791)	ribonuclease P
tpy:CQ11_07590	CDS	complement(1610791..1610931)	50S ribosomal protein L34
tpy:CQ11_07595	CDS	1611303..1612910	chromosomal replication initiator protein DnaA
tpy:CQ11_07600	CDS	1613249..1614385	DNA polymerase III subunit beta
tpy:CQ11_07605	CDS	1614404..1615633	recombinase RecF
tpy:CQ11_07610	CDS	1615626..1616201	RNA-binding protein
tpy:CQ11_07615	CDS	1616355..1618391	DNA gyrase subunit B
tpy:CQ11_07620	CDS	1618400..1620961	DNA gyrase subunit A
tpy:CQ11_07625	CDS	1621023..1621448	hypothetical protein
tpy:CQ11_07630	tRNA	1621577..1621650	tRNA-Ile
tpy:CQ11_07640	tRNA	1621800..1621875	tRNA-Ala
tpy:CQ11_07645	CDS	complement(1621914..1623152)	hypothetical protein
tpy:CQ11_07650	CDS	1623313..1624581	hypothetical protein
tpy:CQ11_07655	CDS	complement(1624667..1625461)	hypothetical protein
tpy:CQ11_07660	CDS	1625672..1626193	peptidylprolyl isomerase
tpy:CQ11_07665	CDS	1626299..1626907	protease
tpy:CQ11_07670	CDS	complement(1627419..1627697)	peptidase M22
tpy:CQ11_07675	CDS	1627851..1628687	sortase
tpy:CQ11_07680	CDS	1628687..1628845	membrane protein
tpy:CQ11_07685	CDS	complement(1628905..1630719)	serine/threonine protein kinase
tpy:CQ11_07690	CDS	complement(1630810..1632249)	penicillin-binding protein
tpy:CQ11_07695	CDS	complement(1632246..1633742)	cell division protein
tpy:CQ11_07700	CDS	complement(1633739..1635049)	serine/threonine protein phosphatase
tpy:CQ11_07705	CDS	complement(1635046..1635531)	signal peptide protein
tpy:CQ11_07710	CDS	complement(1635528..1636226)	signal peptide protein
tpy:CQ11_07715	tRNA	1636442..1636525	tRNA-Leu
tpy:CQ11_07720	CDS	complement(1636554..1638668)	protease
tpy:CQ11_07725	CDS	1638744..1639436	DSBA oxidoreductase
tpy:CQ11_07730	CDS	complement(1639488..1639952)	hypothetical protein
tpy:CQ11_07740	CDS	1640049..1640957	Appr-1-p processing protein
tpy:CQ11_07745	CDS	complement(1641199..1642560)	5'-methylthioadenosine nucleosidase
tpy:CQ11_07750	CDS	complement(1642557..1643018)	S-ribosylhomocysteine lyase
tpy:CQ11_07755	CDS	complement(1643049..1643495)	Fur family transcriptional regulator
tpy:CQ11_07760	CDS	1643998..1644246	hypothetical protein
tpy:CQ11_07765	CDS	1644276..1644677	nrdI; ribonucleotide reductase stimulatory protein
tpy:CQ11_07770	CDS	1644659..1646809	ribonucleotide-diphosphate reductase subunit alpha
tpy:CQ11_07775	CDS	complement(1646820..1647287)	cysteine methyltransferase
tpy:CQ11_07780	CDS	complement(1647293..1648492)	hypothetical protein
tpy:CQ11_07785	CDS	1648607..1649569	ribonucleotide-diphosphate reductase subunit beta
tpy:CQ11_07790	CDS	1649741..1650259	protein tyrosine phosphatase
tpy:CQ11_07795	CDS	complement(1650282..1651073)	hypothetical protein
tpy:CQ11_07800	CDS	complement(1651170..1652495)	sugar ABC transporter substrate-binding protein
tpy:CQ11_07805	CDS	complement(1652597..1653457)	sugar ABC transporter permease
tpy:CQ11_07810	CDS	complement(1653459..1654436)	sugar ABC transporter permease
tpy:CQ11_07815	CDS	1654887..1655753	hypothetical protein
tpy:CQ11_07820	CDS	complement(1655900..1656511)	hypothetical protein
tpy:CQ11_07825	CDS	complement(1657145..1657609)	hypothetical protein
tpy:CQ11_07830	CDS	1657671..1658774	pyridine nucleotide-disulfide oxidoreductase
tpy:CQ11_07835	CDS	complement(1658878..1659072)	hypothetical protein
tpy:CQ11_07840	CDS	1659072..1659476	hypothetical protein
tpy:CQ11_07845	CDS	complement(1659478..1663680)	ATP-dependent helicase
tpy:CQ11_07850	CDS	complement(1663907..1664515)	MerR family transcriptional regulator
tpy:CQ11_07855	CDS	complement(1664512..1665612)	histidine kinase
tpy:CQ11_07860	CDS	complement(1665609..1666352)	ABC transporter
tpy:CQ11_07865	CDS	complement(1666355..1667257)	multidrug ABC transporter ATPase
tpy:CQ11_07870	CDS	complement(1667491..1668894)	hypothetical protein
tpy:CQ11_07875	CDS	complement(1668891..1669634)	macrolide ABC transporter ATP-binding protein
tpy:CQ11_07880	CDS	1669729..1670448	histidine kinase
tpy:CQ11_07885	CDS	1670448..1671137	transcriptional regulator
tpy:CQ11_07890	CDS	1671294..1672130	aldose epimerase
tpy:CQ11_07895	CDS	1672659..1674512	hypothetical protein
