pkt:AT984_00010	rRNA	627..739	5S ribosomal RNA
pkt:AT984_16795	CDS	3910647..3912035	hypothetical protein
pkt:AT984_16800	CDS	complement(3912109..3912696)	methionine biosynthesis protein MetW
pkt:AT984_16805	CDS	complement(3912693..3913805)	metX; homoserine O-acetyltransferase
pkt:AT984_16810	CDS	complement(3914102..3915004)	hypothetical protein
pkt:AT984_16815	CDS	complement(3915069..3916928)	signal peptide peptidase SppA
pkt:AT984_16820	CDS	3917086..3918741	glutamate synthase
pkt:AT984_16825	CDS	complement(3918724..3919362)	glutathione S-transferase
pkt:AT984_16830	CDS	3919556..3920221	hypothetical protein
pkt:AT984_16835	CDS	complement(3920247..3920876)	glutathione S-transferase
pkt:AT984_16840	CDS	3921087..3921650	hypothetical protein
pkt:AT984_16845	CDS	complement(3921703..3922371)	ABC transporter ATP-binding protein
pkt:AT984_16850	CDS	complement(3922418..3923656)	hypothetical protein
pkt:AT984_16855	CDS	complement(3923666..3924949)	hypothetical protein
pkt:AT984_16860	CDS	3925197..3925511	ethyl tert-butyl ether degradation protein EthD
pkt:AT984_16865	CDS	complement(3925673..3925903)	hypothetical protein
pkt:AT984_16870	CDS	complement(3926431..3929196)	hypothetical protein
pkt:AT984_16875	CDS	complement(3929305..3930030)	hypothetical protein
pkt:AT984_16880	CDS	3930561..3931940	adenylosuccinate lyase
pkt:AT984_16885	CDS	complement(3932217..3932885)	hypothetical protein
pkt:AT984_16890	CDS	complement(3932920..3934296)	hypothetical protein
pkt:AT984_16895	CDS	complement(3934313..3935020)	two-component system response regulator
pkt:AT984_16900	CDS	complement(3935072..3936022)	hypothetical protein
pkt:AT984_16905	CDS	3936088..3936939	Orotidine 5'-phosphate decarboxylase
pkt:AT984_16910	CDS	3937223..3940483	hypothetical protein
pkt:AT984_16915	CDS	complement(3940510..3940716)	hypothetical protein
pkt:AT984_16920	CDS	3940943..3941374	histidine kinase
pkt:AT984_16925	CDS	3941533..3941982	histidine kinase
pkt:AT984_16930	CDS	3942095..3943639	hypothetical protein
pkt:AT984_16935	CDS	complement(3943693..3944145)	hypothetical protein
pkt:AT984_16940	CDS	complement(3944256..3944633)	hypothetical protein
pkt:AT984_16945	CDS	complement(3944710..3945075)	hypothetical protein
pkt:AT984_16950	CDS	complement(3945072..3947354)	acylaldehyde oxidase
pkt:AT984_16955	CDS	complement(3947351..3947824)	(2Fe-2S)-binding protein
pkt:AT984_16960	CDS	3947902..3948654	hypothetical protein
pkt:AT984_16965	CDS	3948886..3951654	hypothetical protein
pkt:AT984_16970	CDS	complement(3951757..3953460)	carboxypeptidase
pkt:AT984_16975	CDS	complement(3953541..3954329)	hypothetical protein
pkt:AT984_16980	CDS	complement(3954326..3955441)	hypothetical protein
pkt:AT984_16985	CDS	complement(3955562..3956317)	class II glutamine amidotransferase
pkt:AT984_16990	CDS	complement(3956332..3957597)	geranylgeranyl reductase
pkt:AT984_16995	CDS	complement(3957770..3960724)	TonB-dependent receptor
pkt:AT984_17000	CDS	complement(3961245..3964052)	hypothetical protein
pkt:AT984_17005	CDS	complement(3964490..3964669)	hypothetical protein
pkt:AT984_17010	CDS	complement(3964680..3966863)	malate synthase G
pkt:AT984_17015	CDS	3967031..3967951	LysR family transcriptional regulator
pkt:AT984_17020	CDS	complement(3967955..3970216)	diguanylate cyclase
pkt:AT984_17025	CDS	complement(3970308..3973316)	chemotaxis protein CheR
pkt:AT984_17030	CDS	complement(3973557..3973934)	hypothetical protein
pkt:AT984_17035	CDS	complement(3974050..3975414)	serine/threonine protein kinase
pkt:AT984_17040	CDS	3975481..3977202	argS; arginine--tRNA ligase
pkt:AT984_17045	CDS	3977199..3977921	hypothetical protein
pkt:AT984_17050	CDS	3977979..3978641	hypothetical protein
pkt:AT984_17055	CDS	3978757..3979455	hypothetical protein
pkt:AT984_17060	CDS	3979452..3980231	LPS export ABC transporter ATP-binding protein
pkt:AT984_17065	CDS	3980231..3981745	RNA polymerase sigma-54 factor
pkt:AT984_17070	CDS	3981889..3984627	hypothetical protein
pkt:AT984_17075	CDS	3984785..3986095	RNA methyltransferase
pkt:AT984_17080	CDS	complement(3986087..3986818)	16S rRNA methyltransferase
pkt:AT984_17085	CDS	complement(3986985..3987518)	hypothetical protein
pkt:AT984_17090	CDS	complement(3987744..3989420)	long-chain fatty acid--CoA ligase
pkt:AT984_17095	CDS	complement(3989584..3991011)	NAD synthetase
pkt:AT984_17100	CDS	complement(3991008..3991325)	NAD(P)(+) transhydrogenase
pkt:AT984_17105	CDS	complement(3991335..3992477)	NADP transhydrogenase subunit alpha
pkt:AT984_17110	CDS	3992628..3993128	NUDIX hydrolase
pkt:AT984_17115	CDS	3993205..3994344	mnmA; tRNA-specific 2-thiouridylase
pkt:AT984_17120	CDS	3994371..3995636	hypothetical protein
pkt:AT984_17125	CDS	3995639..3996331	hypothetical protein
pkt:AT984_17130	CDS	complement(3996382..3996951)	hypothetical protein
pkt:AT984_17135	CDS	3997106..3998422	RND transporter
pkt:AT984_17140	CDS	3998438..3999148	ABC transporter ATP-binding protein
pkt:AT984_17145	CDS	3999175..4000332	ABC transporter ATP-binding protein
pkt:AT984_17150	CDS	4000474..4001643	multidrug ABC transporter permease
pkt:AT984_17155	CDS	4001735..4002211	hypothetical protein
pkt:AT984_17160	CDS	4002792..4003433	hypothetical protein
pkt:AT984_17165	CDS	4003526..4003963	hypothetical protein
pkt:AT984_17170	CDS	4003972..4005462	hypothetical protein
pkt:AT984_17175	CDS	complement(4005560..4006186)	hypothetical protein
pkt:AT984_17180	CDS	complement(4006189..4006578)	type II secretion system protein G
pkt:AT984_17185	CDS	complement(4006584..4007069)	general secretion pathway protein GspG
pkt:AT984_17190	CDS	complement(4007090..4009273)	hypothetical protein
pkt:AT984_17195	CDS	complement(4009270..4009791)	hypothetical protein
pkt:AT984_17200	CDS	complement(4009818..4010429)	hypothetical protein
pkt:AT984_17205	CDS	complement(4010426..4011892)	hypothetical protein
pkt:AT984_17210	CDS	complement(4011885..4013417)	general secretion pathway protein GspE
pkt:AT984_17215	CDS	complement(4013414..4014625)	hypothetical protein
pkt:AT984_17220	CDS	complement(4014693..4015160)	type II secretion system protein GspG
pkt:AT984_17225	gene	complement(4015357..4019164)	pseudogene
pkt:AT984_17230	CDS	complement(4019732..4024261)	hypothetical protein
pkt:AT984_17235	CDS	complement(4024793..4025356)	single-stranded DNA-binding protein
pkt:AT984_17240	CDS	complement(4025426..4025917)	auxin-binding protein
pkt:AT984_17245	CDS	4025947..4027827	ATP-dependent DNA helicase RecQ
pkt:AT984_17250	CDS	complement(4027900..4029438)	hypothetical protein
pkt:AT984_17255	CDS	complement(4029442..4031034)	hypothetical protein
pkt:AT984_17260	CDS	complement(4031476..4032786)	hypothetical protein
pkt:AT984_17265	CDS	complement(4032803..4033741)	hypothetical protein
pkt:AT984_17270	CDS	complement(4033862..4034158)	hypothetical protein
pkt:AT984_17275	CDS	complement(4034365..4036392)	hypothetical protein
pkt:AT984_17280	CDS	complement(4036456..4036674)	hypothetical protein
pkt:AT984_17285	CDS	4036974..4040531	hypothetical protein
pkt:AT984_17290	CDS	complement(4040551..4043550)	hypothetical protein
pkt:AT984_17295	CDS	complement(4043936..4045051)	hypothetical protein
pkt:AT984_17300	CDS	complement(4045154..4047133)	hypothetical protein
pkt:AT984_17305	CDS	4047446..4050385	ABC-ATPase UvrA
pkt:AT984_17310	CDS	complement(4050461..4051174)	hypothetical protein
pkt:AT984_17315	CDS	4051573..4051968	hypothetical protein
pkt:AT984_17320	CDS	complement(4052095..4052526)	hypothetical protein
pkt:AT984_17325	CDS	complement(4052743..4053858)	2-hydroxy-acid oxidase
pkt:AT984_17330	CDS	complement(4053873..4054556)	PKHD-type hydroxylase
pkt:AT984_17335	CDS	complement(4054582..4056834)	TonB-dependent receptor
pkt:AT984_17340	CDS	complement(4056971..4057390)	biopolymer transporter ExbD
pkt:AT984_17345	CDS	complement(4057395..4058171)	biopolymer transporter ExbB
pkt:AT984_17350	CDS	complement(4058230..4059111)	hypothetical protein
pkt:AT984_17355	CDS	complement(4059311..4060276)	hypothetical protein
pkt:AT984_17360	CDS	4060721..4061077	hypothetical protein
pkt:AT984_17365	CDS	complement(4061094..4062725)	hypothetical protein
pkt:AT984_17370	CDS	4062832..4063314	moaC; cyclic pyranopterin monophosphate synthase accessory protein
pkt:AT984_17375	CDS	complement(4063318..4065030)	hypothetical protein
pkt:AT984_17380	CDS	4065224..4065625	GntR family transcriptional regulator
pkt:AT984_17385	CDS	4065622..4066509	ABC transporter ATP-binding protein
pkt:AT984_17390	CDS	4066512..4067996	hypothetical protein
pkt:AT984_17395	CDS	complement(4068022..4068528)	flavin reductase
pkt:AT984_17400	CDS	4068672..4069559	peptidase M48
pkt:AT984_17405	CDS	complement(4069587..4070228)	Crp/Fnr family transcriptional regulator
pkt:AT984_17410	CDS	complement(4070637..4071281)	hypothetical protein
pkt:AT984_17415	CDS	complement(4071729..4073270)	peptide transporter
pkt:AT984_17420	CDS	complement(4073520..4074293)	class II aldolase
pkt:AT984_17425	CDS	complement(4074374..4074964)	phosphohydrolase
pkt:AT984_17430	CDS	4075265..4076707	coniferyl-aldehyde dehydrogenase
pkt:AT984_17435	CDS	complement(4076662..4077714)	hypothetical protein
pkt:AT984_17440	CDS	4077843..4079615	N-acyl-D-glutamate amidohydrolase
pkt:AT984_17445	CDS	complement(4079589..4080017)	arsenate reductase
pkt:AT984_17450	CDS	4080392..4081525	hypothetical protein
pkt:AT984_17455	CDS	complement(4081541..4082008)	isomerase
pkt:AT984_17460	CDS	complement(4082019..4082810)	short-chain dehydrogenase
pkt:AT984_17465	CDS	complement(4082831..4083364)	hypothetical protein
pkt:AT984_17470	CDS	complement(4083377..4084630)	MFS transporter
pkt:AT984_17475	CDS	complement(4084627..4085184)	hypothetical protein
pkt:AT984_17480	CDS	complement(4085181..4086440)	cyclopropane-fatty-acyl-phospholipid synthase
pkt:AT984_17485	CDS	complement(4086453..4087313)	hypothetical protein
pkt:AT984_17490	CDS	complement(4087310..4088653)	NADH-ubiquinone oxidoreductase subunit 6
pkt:AT984_17495	CDS	4088748..4089443	TetR family transcriptional regulator
pkt:AT984_17500	CDS	complement(4089554..4090732)	ampC; class C beta-lactamase
pkt:AT984_17505	CDS	complement(4090813..4091613)	exodeoxyribonuclease III
pkt:AT984_17510	CDS	4091946..4094186	TonB-dependent receptor
pkt:AT984_17515	CDS	4094446..4095129	orotate phosphoribosyltransferase
pkt:AT984_17520	gene	4095189..4095854	pseudogene
pkt:AT984_17525	CDS	complement(4095966..4097426)	gatB; glutamyl-tRNA amidotransferase
pkt:AT984_17530	CDS	complement(4097428..4098927)	glutamyl-tRNA amidotransferase
pkt:AT984_17535	CDS	complement(4098927..4099226)	glutamyl-tRNA amidotransferase
pkt:AT984_17540	CDS	4099583..4100626	rod shape-determining protein MreB
pkt:AT984_17545	gene	4100763..4101686	pseudogene
pkt:AT984_17550	CDS	4101809..4102330	rod shape-determining protein MreD
pkt:AT984_17555	CDS	4102330..4104477	penicillin-binding protein 2
pkt:AT984_17560	CDS	4104474..4105628	rod shape-determining protein RodA
pkt:AT984_17565	CDS	complement(4105665..4107176)	histidine kinase
pkt:AT984_17570	CDS	complement(4107207..4107878)	two-component system response regulator
pkt:AT984_17575	CDS	4108030..4109070	recA; DNA recombination/repair protein RecA
pkt:AT984_17580	CDS	4109141..4109515	hypothetical protein
pkt:AT984_17585	CDS	4109601..4110176	hypothetical protein
pkt:AT984_17590	CDS	4110349..4110954	hypothetical protein
pkt:AT984_17595	CDS	4110980..4112140	sucC; succinyl-CoA synthetase subunit beta
pkt:AT984_17600	CDS	4112214..4113107	succinate--CoA ligase
pkt:AT984_17605	CDS	4113245..4113988	hypothetical protein
pkt:AT984_17610	CDS	4113946..4115082	hypothetical protein
pkt:AT984_17615	CDS	4115079..4115867	protein phosphatase
pkt:AT984_17620	CDS	4116055..4116714	hypothetical protein
pkt:AT984_17625	CDS	4116869..4117978	hypothetical protein
pkt:AT984_17630	CDS	complement(4118060..4118878)	histidine kinase
pkt:AT984_17635	CDS	complement(4119048..4119809)	hypothetical protein
pkt:AT984_17640	CDS	4120383..4121762	hypothetical protein
pkt:AT984_17645	CDS	4121919..4123781	radical SAM protein
pkt:AT984_17650	CDS	complement(4123796..4124455)	hypothetical protein
pkt:AT984_17655	CDS	complement(4124467..4125720)	hypothetical protein
pkt:AT984_17660	CDS	4126299..4128680	helicase
pkt:AT984_17665	CDS	4129111..4129488	hypothetical protein
pkt:AT984_17670	CDS	4129598..4130995	cytochrome C oxidase subunit II
pkt:AT984_17675	CDS	complement(4131028..4132701)	choline dehydrogenase
pkt:AT984_17680	CDS	complement(4132791..4133429)	hypothetical protein
pkt:AT984_17685	CDS	complement(4133483..4134280)	cobalamin-binding protein
pkt:AT984_17690	CDS	complement(4134277..4135206)	hypothetical protein
pkt:AT984_17695	CDS	4135469..4135957	RNA-binding protein
pkt:AT984_17700	CDS	complement(4136129..4138462)	hypothetical protein
pkt:AT984_17705	CDS	complement(4138747..4139526)	short-chain dehydrogenase
pkt:AT984_17710	CDS	complement(4139523..4140155)	hypothetical protein
pkt:AT984_17715	CDS	complement(4140230..4140814)	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase
pkt:AT984_17720	CDS	complement(4140814..4141803)	arabinose-5-phosphate isomerase
pkt:AT984_17725	CDS	4142023..4142772	hypothetical protein
pkt:AT984_17730	CDS	complement(4142878..4144149)	glutamate dehydrogenase
pkt:AT984_17735	CDS	complement(4144356..4146935)	hypothetical protein
pkt:AT984_17740	gene	complement(4147124..4147602)	pseudogene
pkt:AT984_17745	CDS	complement(4148244..4149386)	branched-chain amino acid ABC transporter substrate-binding protein
pkt:AT984_17750	CDS	complement(4149441..4149905)	hypothetical protein
pkt:AT984_17755	CDS	4150029..4151267	hypothetical protein
pkt:AT984_17760	CDS	complement(4151410..4152627)	MacB protein
pkt:AT984_17765	CDS	complement(4152624..4153328)	macrolide ABC transporter ATP-binding protein
pkt:AT984_17770	CDS	complement(4153328..4154662)	hypothetical protein
pkt:AT984_17775	CDS	4154857..4155387	guanosine monophosphate synthetase
pkt:AT984_17780	CDS	4155439..4157436	potassium transporter
pkt:AT984_17785	CDS	complement(4157526..4159214)	hypothetical protein
pkt:AT984_17790	CDS	complement(4159232..4161346)	hypothetical protein
pkt:AT984_17795	CDS	complement(4161343..4163493)	hypothetical protein
pkt:AT984_17800	CDS	complement(4163724..4165415)	ABC transporter ATP-binding protein
pkt:AT984_17805	CDS	complement(4165423..4166481)	peptide ABC transporter permease
pkt:AT984_17810	CDS	complement(4166478..4167416)	peptide ABC transporter permease
pkt:AT984_17815	CDS	4167762..4169612	bicyclomycin resistance protein
pkt:AT984_17820	CDS	4169724..4171475	bicyclomycin resistance protein
pkt:AT984_17825	CDS	4171574..4173355	bicyclomycin resistance protein
pkt:AT984_17830	CDS	4173357..4175231	bicyclomycin resistance protein
pkt:AT984_17835	CDS	4175484..4176230	alpha/beta hydrolase
pkt:AT984_17840	CDS	4176380..4176739	hypothetical protein
pkt:AT984_17845	CDS	complement(4176777..4177001)	hypothetical protein
pkt:AT984_17850	CDS	4177012..4177329	hypothetical protein
pkt:AT984_17855	CDS	complement(4177449..4177889)	hypothetical protein
pkt:AT984_17860	CDS	complement(4178501..4178947)	hypothetical protein
pkt:AT984_17865	CDS	complement(4179340..4179786)	hypothetical protein
pkt:AT984_17870	CDS	complement(4180167..4180952)	3',5'-cyclic-nucleotide phosphodiesterase
pkt:AT984_17875	CDS	4181040..4181231	hypothetical protein
pkt:AT984_17880	CDS	4181218..4185618	hypothetical protein
pkt:AT984_17885	CDS	4185695..4186765	hypothetical protein
pkt:AT984_17890	gene	4186866..4188149	pseudogene
pkt:AT984_17895	CDS	complement(4188178..4189104)	pseudouridine synthase
pkt:AT984_17900	CDS	complement(4189123..4190157)	hypothetical protein
pkt:AT984_17905	CDS	complement(4190164..4191468)	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
pkt:AT984_17910	CDS	complement(4191548..4192381)	sulfurtransferase
pkt:AT984_17915	CDS	complement(4192512..4194590)	cysteine desulfurase
pkt:AT984_17920	CDS	4194736..4195563	phosphatidylserine decarboxylase
pkt:AT984_17925	CDS	complement(4195490..4196425)	transcriptional regulator
pkt:AT984_17930	CDS	4196634..4197584	aldo/keto reductase
pkt:AT984_17935	CDS	complement(4197539..4199923)	hypothetical protein
pkt:AT984_17940	CDS	4200151..4201464	tryptophan--tRNA ligase
pkt:AT984_17945	CDS	4201712..4203406	AMP-binding acetyl-CoA synthetase
pkt:AT984_17950	CDS	4203479..4204609	patatin
pkt:AT984_17955	CDS	4204679..4205188	hypothetical protein
pkt:AT984_17960	CDS	complement(4205263..4207851)	hypothetical protein
pkt:AT984_17965	CDS	complement(4208117..4208785)	glutathione S-transferase
pkt:AT984_17970	CDS	4208948..4209595	lysine transporter LysE
pkt:AT984_17975	CDS	4209595..4210137	hypothetical protein
pkt:AT984_17980	CDS	complement(4210134..4211675)	glutamate--cysteine ligase
pkt:AT984_17985	CDS	4211841..4213103	acyl-CoA dehydrogenase
pkt:AT984_17990	CDS	4213226..4214716	hypothetical protein
pkt:AT984_17995	CDS	4214739..4215281	adenine phosphoribosyltransferase
pkt:AT984_18000	CDS	4215547..4215810	hypothetical protein
pkt:AT984_18005	CDS	4215855..4216958	hypothetical protein
pkt:AT984_18010	CDS	complement(4217174..4218565)	tRNA modification GTPase TrmE
pkt:AT984_18015	CDS	4218583..4218927	hypothetical protein
pkt:AT984_18020	CDS	4219232..4219750	hypothetical protein
pkt:AT984_18025	CDS	4219759..4222434	hypothetical protein
pkt:AT984_18030	CDS	complement(4222541..4222843)	hypothetical protein
pkt:AT984_18035	CDS	4222852..4223523	hypothetical protein
pkt:AT984_18040	CDS	complement(4223689..4225413)	insertase
pkt:AT984_18045	CDS	complement(4225410..4225703)	membrane protein insertion efficiency factor YidD
pkt:AT984_18050	CDS	complement(4225761..4226234)	hypothetical protein
pkt:AT984_18055	CDS	4226847..4228367	chromosomal replication initiator DnaA
pkt:AT984_18060	CDS	4228492..4229613	DNA polymerase III subunit beta
pkt:AT984_18065	CDS	4229794..4232319	gyrB; DNA gyrase subunit B
pkt:AT984_18070	CDS	4232817..4234346	integrase
pkt:AT984_18075	gene	4234336..4234959	pseudogene
pkt:AT984_18080	CDS	complement(4234997..4235872)	integrase
pkt:AT984_18085	CDS	complement(4235869..4236192)	transposase
pkt:AT984_18090	CDS	4236297..4236488	hypothetical protein
pkt:AT984_18095	CDS	4236648..4238174	transposase
pkt:AT984_18100	CDS	4239617..4240165	hypothetical protein
pkt:AT984_18105	CDS	4240205..4241755	transposase
pkt:AT984_18110	gene	4241779..4242441	pseudogene
pkt:AT984_18115	CDS	complement(4243511..4244335)	hypothetical protein
pkt:AT984_18120	gene	complement(4244813..4245265)	pseudogene
pkt:AT984_18125	CDS	complement(4245298..4245555)	transposase
pkt:AT984_18130	gene	4245565..4246101	pseudogene
pkt:AT984_18135	CDS	4246061..4246528	hypothetical protein
pkt:AT984_18140	CDS	4246525..4247052	hypothetical protein
pkt:AT984_18145	CDS	4247292..4248380	hypothetical protein
pkt:AT984_18150	CDS	4248505..4248717	hypothetical protein
pkt:AT984_18155	CDS	complement(4248776..4249237)	hypothetical protein
pkt:AT984_18160	CDS	complement(4249626..4250432)	AraC family transcriptional regulator
pkt:AT984_18165	CDS	4250679..4251428	hypothetical protein
pkt:AT984_18170	CDS	4251425..4252411	hypothetical protein
pkt:AT984_18175	CDS	4252419..4255265	multidrug ABC transporter ATP-binding protein
pkt:AT984_18180	CDS	4255281..4256420	hypothetical protein
pkt:AT984_18185	CDS	4256461..4257963	hypothetical protein
pkt:AT984_18190	CDS	complement(4258042..4260963)	hypothetical protein
pkt:AT984_18195	CDS	4261382..4265419	peptide synthetase
pkt:AT984_18200	CDS	4265430..4266035	hypothetical protein
pkt:AT984_18205	CDS	complement(4266032..4267054)	NADPH:quinone reductase
pkt:AT984_18210	CDS	4267163..4268077	hypothetical protein
pkt:AT984_18215	CDS	complement(4268212..4271031)	hypothetical protein
pkt:AT984_18220	CDS	complement(4271128..4271679)	hypothetical protein
pkt:AT984_18225	CDS	complement(4271887..4272291)	hypothetical protein
pkt:AT984_18230	CDS	4272290..4272613	hypothetical protein
pkt:AT984_18235	CDS	4272775..4273167	bacteriocin
pkt:AT984_18240	CDS	4273828..4274532	hypothetical protein
pkt:AT984_18245	CDS	4274714..4274917	hypothetical protein
pkt:AT984_18250	CDS	complement(4274923..4275120)	hypothetical protein
pkt:AT984_18255	CDS	complement(4275199..4276878)	hypothetical protein
pkt:AT984_18260	CDS	4277332..4278771	hypothetical protein
pkt:AT984_18265	CDS	4278768..4281194	hypothetical protein
pkt:AT984_18270	CDS	4281298..4281927	hypothetical protein
pkt:AT984_18275	CDS	complement(4281912..4283258)	hypothetical protein
pkt:AT984_18280	CDS	complement(4283338..4284288)	integrase
pkt:AT984_18285	CDS	4284705..4285505	hypothetical protein
pkt:AT984_18290	CDS	complement(4285868..4286392)	hypothetical protein
pkt:AT984_18295	CDS	complement(4286414..4287163)	hypothetical protein
pkt:AT984_18300	CDS	4287564..4288067	hypothetical protein
pkt:AT984_18305	CDS	complement(4288145..4288651)	hypothetical protein
pkt:AT984_18310	CDS	complement(4289418..4289888)	AsnC family transcriptional regulator
pkt:AT984_18315	CDS	4290407..4291174	hypothetical protein
pkt:AT984_18320	CDS	4291441..4291854	thioredoxin
pkt:AT984_18325	CDS	4292021..4295851	hypothetical protein
pkt:AT984_18330	CDS	4295925..4297604	hypothetical protein
pkt:AT984_18335	CDS	complement(4297670..4297867)	hypothetical protein
pkt:AT984_18340	CDS	complement(4297893..4299968)	carbon starvation protein A
pkt:AT984_18345	CDS	complement(4300175..4301725)	hypothetical protein
pkt:AT984_18350	CDS	complement(4301770..4302222)	hypothetical protein
pkt:AT984_18355	CDS	complement(4302449..4303117)	LuxR family transcriptional regulator
pkt:AT984_18360	CDS	complement(4303129..4304553)	histidine kinase
pkt:AT984_18365	CDS	4304665..4304973	hypothetical protein
pkt:AT984_18370	CDS	4305050..4305436	hypothetical protein
pkt:AT984_18375	CDS	complement(4305426..4307267)	hypothetical protein
pkt:AT984_18380	CDS	complement(4307416..4308510)	hypothetical protein
pkt:AT984_18385	CDS	complement(4308567..4310645)	peptidase M13
pkt:AT984_18390	CDS	4310793..4311362	hypothetical protein
pkt:AT984_18395	CDS	complement(4311490..4312704)	hypothetical protein
pkt:AT984_18400	CDS	complement(4312664..4313149)	cytochrome C biogenesis protein
pkt:AT984_18405	CDS	complement(4313142..4313666)	thiol:disulfide interchange protein
pkt:AT984_18410	CDS	complement(4313663..4315672)	cytochrome C biogenesis protein
pkt:AT984_18415	CDS	complement(4315669..4316139)	cytochrome C biogenesis protein CcmE
pkt:AT984_18420	CDS	complement(4316136..4316303)	cytochrome C biogenesis protein
pkt:AT984_18425	CDS	complement(4316306..4317100)	heme ABC transporter permease
pkt:AT984_18430	CDS	complement(4317105..4317782)	heme ABC transporter permease
pkt:AT984_18435	CDS	complement(4317779..4318441)	heme ABC transporter ATP-binding protein
pkt:AT984_18440	CDS	4318848..4321133	helicase
pkt:AT984_18445	CDS	4321153..4321839	hypothetical protein
pkt:AT984_18450	CDS	complement(4321867..4323057)	hypothetical protein
pkt:AT984_18455	CDS	complement(4323064..4324020)	dimethylhistidine N-methyltransferase
pkt:AT984_18460	CDS	4324378..4325484	6-pyruvoyl tetrahydropterin synthase
pkt:AT984_18465	CDS	4325481..4326116	7-carboxy-7-deazaguanine synthase
pkt:AT984_18470	CDS	complement(4326170..4327537)	C4-dicarboxylate transporter
pkt:AT984_18475	CDS	complement(4327622..4328296)	hypothetical protein
pkt:AT984_18480	CDS	complement(4328324..4329472)	phospholipase
pkt:AT984_18485	CDS	4329964..4330278	nucleotide pyrophosphohydrolase
pkt:AT984_18490	CDS	4330310..4330999	DNA polymerase III subunit epsilon
pkt:AT984_18495	CDS	4331163..4331681	GCN5 family acetyltransferase
pkt:AT984_18500	CDS	complement(4332673..4332978)	hypothetical protein
pkt:AT984_18505	CDS	4333105..4333524	hypothetical protein
pkt:AT984_18510	CDS	complement(4333799..4334584)	hypothetical protein
pkt:AT984_18515	CDS	complement(4334662..4335816)	hypothetical protein
pkt:AT984_18520	CDS	4335917..4336900	DNA-binding protein
pkt:AT984_18525	CDS	complement(4336961..4337365)	oxidoreductase
pkt:AT984_18530	CDS	complement(4337441..4338040)	cobalamin adenosyltransferase
pkt:AT984_18535	CDS	complement(4338187..4338420)	hypothetical protein
pkt:AT984_18540	CDS	complement(4338511..4339959)	hypothetical protein
pkt:AT984_18545	CDS	4340300..4341703	2-hydroxy-acid oxidase
pkt:AT984_18550	CDS	4341974..4342981	hypothetical protein
pkt:AT984_18555	CDS	complement(4343022..4344629)	SpoVR family protein
pkt:AT984_18560	CDS	complement(4344626..4345906)	hypothetical protein
pkt:AT984_18565	CDS	complement(4345952..4347874)	serine protein kinase PrkA
pkt:AT984_18570	CDS	complement(4348348..4349256)	chromosome partitioning protein ParB
pkt:AT984_18575	CDS	complement(4349273..4349839)	alpha/beta hydrolase
pkt:AT984_18580	CDS	4349900..4350841	N-acetyl-gamma-glutamyl-phosphate reductase
pkt:AT984_18585	CDS	4350847..4351278	hypothetical protein
pkt:AT984_18590	CDS	complement(4351305..4352078)	hypothetical protein
pkt:AT984_18595	CDS	complement(4352079..4352849)	chromosome partitioning protein
pkt:AT984_18600	CDS	complement(4352943..4353623)	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
pkt:AT984_18605	CDS	complement(4353631..4355589)	gidA; tRNA uridine 5-carboxymethylaminomethyl modification protein
pkt:AT984_18610	CDS	4355804..4356121	proteinase inhibitor
pkt:AT984_18615	CDS	complement(4356111..4356353)	hypothetical protein
pkt:AT984_18620	CDS	complement(4356532..4357707)	two-component system response regulator
pkt:AT984_18625	CDS	complement(4357723..4361721)	hypothetical protein
pkt:AT984_18630	CDS	complement(4361852..4363183)	GntR family transcriptional regulator
pkt:AT984_18635	CDS	4363428..4364285	transporter
pkt:AT984_18640	CDS	complement(4364293..4366368)	ABC transporter
pkt:AT984_18645	CDS	complement(4366433..4367686)	hypothetical protein
pkt:AT984_18650	CDS	complement(4367760..4367942)	hypothetical protein
pkt:AT984_18655	CDS	complement(4368078..4368797)	hypothetical protein
pkt:AT984_18660	CDS	4369049..4369339	hypothetical protein
pkt:AT984_18665	CDS	complement(4369412..4371313)	hypothetical protein
pkt:AT984_18670	CDS	complement(4371760..4372971)	sodium ABC transporter permease
pkt:AT984_18675	CDS	complement(4372968..4373789)	ABC transporter ATP-binding protein
pkt:AT984_18680	gene	complement(4373849..4375321)	pseudogene
pkt:AT984_18685	CDS	4375563..4375913	hypothetical protein
pkt:AT984_18690	CDS	complement(4376125..4376583)	dehydratase
pkt:AT984_18695	CDS	4376682..4377290	glutathione S-transferase
pkt:AT984_18700	CDS	complement(4377355..4378938)	disulfide isomerase
pkt:AT984_18705	gene	complement(4379187..4380077)	pseudogene
pkt:AT984_18710	CDS	complement(4380167..4381498)	hypothetical protein
pkt:AT984_18715	CDS	4381660..4383759	fadH; NADPH-dependent 2,4-dienoyl-CoA reductase
pkt:AT984_18720	CDS	4383929..4386295	hypothetical protein
pkt:AT984_18725	CDS	complement(4386351..4387265)	hypothetical protein
pkt:AT984_18730	CDS	complement(4387401..4389350)	hypothetical protein
pkt:AT984_18735	CDS	4389599..4390417	hypothetical protein
pkt:AT984_18740	CDS	4390540..4392012	C4-dicarboxylate ABC transporter
pkt:AT984_18745	CDS	4392103..4392585	transcription elongation factor GreAB
pkt:AT984_18750	CDS	4393035..4393430	hypothetical protein
