ccol:SSU_rRNA-1	rRNA	complement(1..491)	Small Subunit Ribosomal RNA; ssuRNA; SSU ribosomal RNA
ccol:BN865_10230c	CDS	complement(968395..968847)	tmRNA-binding protein SmpB
ccol:BN865_10240c	CDS	complement(968844..969614)	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
ccol:BN865_10250c	CDS	complement(969611..969838)	Carbon storage regulator
ccol:BN865_10260c	CDS	complement(969832..970650)	tRNA pseudouridine synthase B
ccol:BN865_10270c	CDS	complement(970647..972707)	ATP-dependent DNA helicase UvrD/PcrA/Rep, epsilon proteobacterial type 2
ccol:BN865_10280c	CDS	complement(972704..973141)	FIG00469468: hypothetical protein
ccol:BN865_10290c	CDS	complement(973141..974856)	Oligoendopeptidase F
ccol:BN865_10300c	CDS	complement(974866..975747)	Aspartate carbamoyltransferase
ccol:BN865_10310c	CDS	complement(975753..976976)	Sodium/dicarboxylate symporter
ccol:BN865_10320	CDS	977002..977115	hypothetical protein
ccol:BN865_10330	CDS	977214..978326	S-adenosylmethionine synthetase
ccol:BN865_10340c	CDS	complement(978424..979746)	Apolipoprotein N-acyltransferase / Copper homeostasis protein CutE
ccol:BN865_10350	CDS	979719..979991	Preprotein translocase subunit YajC (TC 3.A.5.1.1)
ccol:BN865_10360	CDS	979984..981564	Protein-export membrane protein SecD (TC 3.A.5.1.1)
ccol:BN865_10370	CDS	981564..982535	Protein-export membrane protein SecF (TC 3.A.5.1.1)
ccol:BN865_10380	CDS	982545..984977	Leucyl-tRNA synthetase
ccol:BN865_10390	CDS	984974..985486	Probable lipoprotein Cj1090c
ccol:BN865_10400	CDS	985470..986873	FIG00469765: hypothetical protein
ccol:BN865_10410	CDS	986857..988032	Dihydrofolate synthase / Folylpolyglutamate synthase
ccol:BN865_10430	CDS	988019..988921	Peptidase, M23/M37 family
ccol:BN865_10440	CDS	988966..989253	Protein of unknown function, DUF583 superfamily
ccol:BN865_10450	CDS	989253..992189	Transcription-repair coupling factor
ccol:BN865_10460	CDS	992190..992954	Putative ATP/GTP-binding protein
ccol:BN865_10470	CDS	992951..993634	Endonuclease III
ccol:BN865_10480	CDS	993634..994446	Hydroxymethylpyrimidine phosphate kinase ThiD
ccol:BN865_10490	CDS	994436..995068	Thiamin-phosphate pyrophosphorylase
ccol:BN865_10500	CDS	995046..995675	Uroporphyrinogen-III synthase
ccol:BN865_10510c	CDS	complement(995668..996120)	Probable periplasmic protein Cj1079
ccol:BN865_10520c	CDS	complement(996117..996614)	Putative periplasmic protein
ccol:BN865_10530c	CDS	complement(996778..997083)	Transformation system protein
ccol:BN865_10540c	CDS	complement(997080..997817)	Pyrroline-5-carboxylate reductase
ccol:BN865_10550c	CDS	complement(997817..998206)	Flagellar assembly factor FliW
ccol:BN865_10560	CDS	998371..999018	Putative lipoprotein
ccol:BN865_10570	CDS	999034..1001409	ATP-dependent protease La Type I
ccol:BN865_10580c	CDS	complement(1001544..1001726)	SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
ccol:BN865_10590c	CDS	complement(1001737..1002285)	Single-stranded DNA-binding protein
ccol:BN865_10600c	CDS	complement(1002294..1002671)	SSU ribosomal protein S6p
ccol:BN865_10610	CDS	1002952..1004223	Putative membrane protein
ccol:BN865_10620	CDS	1004223..1005224	FIG00471540: hypothetical protein
ccol:BN865_10630c	CDS	complement(1005217..1006074)	FIG00472122: hypothetical protein
ccol:BN865_10640c	CDS	complement(1006071..1007174)	Intramembrane protease RasP/YluC, implicated in cell division based on FtsL cleavage
ccol:BN865_10650c	CDS	complement(1007171..1007707)	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
ccol:BN865_10670c	CDS	complement(1007861..1008466)	Oxygen-insensitive NAD(P)H nitroreductase / Dihydropteridine reductase
ccol:BN865_10680c	CDS	complement(1008463..1009086)	Oxygen-insensitive NAD(P)H nitroreductase / Dihydropteridine reductase
ccol:BN865_10690c	CDS	complement(1009156..1010244)	Hypothetical domain / C-terminal domain of CinA type S
ccol:BN865_10700	CDS	1010334..1013090	Isoleucyl-tRNA synthetase
ccol:BN865_10710	CDS	1013083..1013205	Small hydrophobic protein
ccol:BN865_10720	CDS	1013202..1014566	Aspartyl-tRNA(Asn) amidotransferase subunit A @ Glutamyl-tRNA(Gln) amidotransferase subunit A
ccol:BN865_10730	CDS	1014567..1016021	Inosine-5'-monophosphate dehydrogenase
ccol:BN865_10740	CDS	1016018..1016191	Exodeoxyribonuclease VII small subunit
ccol:BN865_10750	CDS	1016184..1016963	Predicted amidohydrolase
ccol:BN865_10760	CDS	1017122..1019092	Phosphoglycerol transferase
ccol:BN865_10770	CDS	1019158..1020453	UDP-N-acetylmuramate--alanine ligase
ccol:BN865_10780	CDS	1020446..1020796	membrane protein
ccol:BN865_10790	CDS	1020789..1022996	Recombination inhibitory protein MutS2
ccol:BN865_10800	CDS	1023034..1023735	NAD-dependent protein deacetylase of SIR2 family
ccol:BN865_10810	CDS	1023728..1024330	membrane protein
ccol:BN865_10820	CDS	1024334..1025431	N-succinyl-L,L-diaminopimelate desuccinylase
ccol:BN865_10830	CDS	1025696..1026448	hypothetical protein
ccol:BN865_10840	CDS	1026624..1026815	Sulfur carrier protein ThiS
ccol:BN865_10850	CDS	1026815..1027615	Sulfur carrier protein adenylyltransferase ThiF
ccol:BN865_10860	CDS	1027619..1028395	Thiazole biosynthesis protein ThiG
ccol:BN865_10870	CDS	1028398..1029543	Thiazole biosynthesis protein ThiH
ccol:BN865_10880	CDS	1029533..1030138	Thiamin-phosphate pyrophosphorylase
ccol:BN865_10890	CDS	1030138..1031043	Transcriptional regulator, AraC family
ccol:BN865_10900	CDS	1031106..1031960	Putative periplasmic ATP/GTP-binding protein
ccol:BN865_10910	CDS	1031968..1033131	Putative transmembrane transport protein
ccol:BN865_10920c	CDS	complement(1033121..1034137)	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase, CAzY family GT28
ccol:BN865_10930c	CDS	complement(1034134..1035297)	Cell division protein FtsW
ccol:BN865_10940	CDS	1035436..1036878	Pyruvate carboxyl transferase subunit A
ccol:BN865_10950	CDS	1036878..1037114	FIG00469427: hypothetical protein
ccol:BN865_10960	CDS	1037114..1037872	Arginine-tRNA-protein transferase
ccol:BN865_10970	CDS	1037835..1038641	Possible dnaJ-like protein
ccol:BN865_10980c	CDS	complement(1038661..1041639)	Acriflavin resistance protein / Multidrug efflux system CmeDEF
ccol:BN865_11000c	CDS	complement(1041681..1042421)	Membrane fusion protein of RND family multidrug efflux pump
ccol:BN865_11010c	CDS	complement(1042418..1043701)	Probable outer membrane component of multidrug efflux pump
ccol:BN865_11020	CDS	1043831..1045627	Translation elongation factor LepA
ccol:BN865_11030	CDS	1045716..1046360	Outer membrane liproprotein mapA precursor
ccol:BN865_11040	CDS	1046357..1046932	Possible purine/pyrimidine phosphoribosyltransferase
ccol:BN865_11050	CDS	1046973..1049543	DNA gyrase subunit A
ccol:BN865_11060	CDS	1049607..1050128	Putative lipoprotein required for motility
ccol:BN865_11070	CDS	1050104..1050544	FIG00469618: hypothetical protein
ccol:BN865_11100	CDS	1050603..1051901	Signal-transduction regulatory protein FlgR
ccol:BN865_11110	CDS	1052004..1052933	Aspartate-semialdehyde dehydrogenase
ccol:BN865_11120	CDS	1052947..1053453	membrane protein
ccol:BN865_11130	CDS	1053508..1053708	Putative periplasmic protein
ccol:BN865_11140	CDS	1053718..1054149	Putative cytochrome C
ccol:BN865_11150	CDS	1054185..1055300	Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)
ccol:BN865_11160	CDS	1055310..1056419	High-affinity leucine-specific transport system, periplasmic binding protein LivK (TC 3.A.1.4.1)
ccol:BN865_11180	CDS	1056427..1057386	High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)
ccol:BN865_11190	CDS	1057389..1058432	Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)
ccol:BN865_11200	CDS	1058429..1059199	Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)
ccol:BN865_11210	CDS	1059186..1059881	Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)
ccol:BN865_11220	CDS	1059896..1063156	Putative cytochrome C-type biogenesis protein
ccol:BN865_11240	CDS	1063159..1063614	membrane protein
ccol:tRNA-Arg-3	tRNA	complement(1063705..1063778)	tRNA-Arg
ccol:BN865_11250c	CDS	complement(1063832..1064602)	Magnesium and cobalt transport protein CorA
ccol:BN865_11260c	CDS	complement(1064589..1065722)	tRNA-guanine transglycosylase
ccol:BN865_11270	CDS	1065752..1067152	TrkA domain protein
ccol:BN865_11280	CDS	1067318..1068373	3-dehydroquinate synthase
ccol:BN865_11290	CDS	1068370..1068576	Putative mechanosensitive ion channel
ccol:BN865_11300	CDS	1068639..1069940	Putative mechanosensitive ion channel
ccol:BN865_11310	CDS	1069937..1071187	MiaB family protein, possibly involved in tRNA or rRNA modification
ccol:BN865_11320	CDS	1071190..1072794	Cell division protein FtsH
ccol:BN865_11330c	CDS	complement(1072888..1073304)	Putative periplasmic protein
ccol:BN865_11340	CDS	1073472..1073921	Putative integral membrane protein
ccol:BN865_11350	CDS	1073918..1074427	phosphohistidine phosphatase SixA, putative
ccol:BN865_11360c	CDS	complement(1074428..1076290)	RNA polymerase sigma factor RpoD
ccol:BN865_11370c	CDS	complement(1076372..1077250)	putative transcriptional regulator (lysR family)
ccol:BN865_11380	CDS	1077383..1078477	Putative membrane protein YeiH
ccol:BN865_11390	CDS	1078571..1079143	Putative periplasmic protein
ccol:BN865_11400c	CDS	complement(1079144..1079743)	rRNA small subunit 7-methylguanosine (m7G) methyltransferase GidB
ccol:BN865_11410c	CDS	complement(1079740..1080300)	GTP cyclohydrolase II
ccol:BN865_11420	CDS	1080357..1081340	Porphobilinogen synthase
ccol:BN865_11430	CDS	1081337..1082248	Ornithine carbamoyltransferase
ccol:BN865_11440	CDS	1082298..1082789	FIG00469386: hypothetical protein
ccol:BN865_11450	CDS	1082776..1084131	Coproporphyrinogen III oxidase, oxygen-independent
ccol:BN865_11460	CDS	1084142..1085407	Putative oxidoreductase ferredoxin-type protein, clusters with CPO
ccol:BN865_11470	CDS	1085408..1086157	Uncharacterized protein Cj0990c
ccol:BN865_11480c	CDS	complement(1086160..1086363)	putative membrane protein
ccol:BN865_11490c	CDS	complement(1086514..1087254)	UPF0246 protein YaaA
ccol:BN865_11500c	CDS	complement(1087374..1088477)	Surface-exposed lipoprotein JlpA
ccol:BN865_11510	CDS	1088686..1089525	Putative amino-acid transporter periplasmic solute-binding protein
ccol:BN865_11520	CDS	1089571..1090818	Transmembrane transport protein
ccol:BN865_11530c	CDS	complement(1090801..1092069)	Aminoacyl-histidine dipeptidase (Peptidase D)
ccol:BN865_11540	CDS	1092125..1092652	Thermonuclease family protein
ccol:BN865_11550	CDS	1092662..1092835	Putative lipoprotein
ccol:BN865_11560c	CDS	complement(1092840..1093415)	Hot dog fold protein HP0420
ccol:BN865_11570c	CDS	complement(1093492..1094367)	tRNA (5-methoxyuridine) 34 synthase
ccol:BN865_11580	CDS	1094599..1095600	hypothetical protein
ccol:tRNA-Leu-3	tRNA	complement(1095774..1095856)	tRNA-Leu
ccol:BN865_11590c	CDS	complement(1095905..1096243)	ATP synthase C chain
ccol:BN865_11610	CDS	1096477..1097811	Putative transmembrane transport protein
ccol:BN865_11620	CDS	1097825..1099174	Putative transmembrane transport protein
ccol:BN865_11630	CDS	1099197..1100984	Pyruvate carboxyl transferase subunit B
ccol:BN865_11640	CDS	1100994..1102568	Phosphoenolpyruvate carboxykinase [ATP]
ccol:BN865_11660	CDS	1102578..1103963	Argininosuccinate lyase
ccol:BN865_11670c	CDS	complement(1103969..1105072)	GTP-binding and nucleic acid-binding protein YchF
ccol:BN865_11680c	CDS	complement(1105069..1106520)	Cytosol aminopeptidase PepA
ccol:BN865_11690c	CDS	complement(1106510..1107205)	DedA family protein
ccol:BN865_11700c	CDS	complement(1107218..1107766)	Adenine phosphoribosyltransferase
ccol:BN865_11710c	CDS	complement(1107763..1108095)	putative
ccol:BN865_11720c	CDS	complement(1108095..1108532)	Ribose 5-phosphate isomerase B
ccol:BN865_11730	CDS	1108703..1109257	Chemotaxis response regulator protein-glutamate methylesterase CheB
ccol:BN865_11740	CDS	1109270..1110058	Chemotaxis protein methyltransferase CheR
ccol:BN865_11750	CDS	1110212..1110940	Amino-acid ABC transporter ATP-binding protein PebC
ccol:BN865_11760	CDS	1110964..1111743	Major cell-binding factor precursor PebA
ccol:BN865_11770	CDS	1111745..1112497	Putative ABC-type amino-acid transporter permease protein
ccol:BN865_11780	CDS	1112507..1113166	Putative ABC-type amino-acid transporter permease protein
ccol:BN865_11790	CDS	1113268..1114197	Ribose-phosphate pyrophosphokinase
ccol:BN865_11800	CDS	1114622..1116733	Carbon starvation protein A
ccol:BN865_11810	CDS	1116774..1116911	FIG00469610: hypothetical protein
ccol:BN865_11820c	CDS	complement(1116955..1117368)	Putative acyl-CoA thioester hydrolase
ccol:BN865_11830	CDS	1117431..1119293	Campylobacter invasion antigen B (CiaB)
ccol:BN865_11850	CDS	1119351..1119641	DNA-binding protein HU
ccol:BN865_11860	CDS	1119773..1120672	Cysteine synthase
ccol:BN865_11870c	CDS	complement(1120677..1121231)	Cytochrome oxidase biogenesis protein Sco1/SenC/PrrC, putative copper metallochaperone
ccol:BN865_11880c	CDS	complement(1121228..1121680)	Putative periplasmic protein
ccol:BN865_11890c	CDS	complement(1121684..1122100)	Copper metallochaperone, bacterial analog of Cox17 protein
ccol:BN865_11900	CDS	1122362..1123339	Putative periplasmic protein
ccol:BN865_11910	CDS	1123339..1124328	Alanine racemase
ccol:BN865_11920	CDS	1124331..1124798	tRNA (cytidine(34)-2'-O)-methyltransferase ## TrmL
ccol:BN865_11930	CDS	1124905..1126377	Putative amino-acid transport protein
ccol:BN865_11940c	CDS	complement(1126404..1127132)	Putative glutamine transport ATP-binding protein
ccol:BN865_11950c	CDS	complement(1127125..1127868)	Putative amino acid ABC tansporter permease protein
ccol:BN865_11960	CDS	1127979..1128119	Small hydrophobic protein
ccol:BN865_11970	CDS	1128112..1128681	DJ-1/YajL/PfpI superfamily, includes chaperone protein YajL (former ThiJ), parkinsonism-associated protein DJ-1, peptidases PfpI, Hsp31
ccol:BN865_11980c	CDS	complement(1128720..1129085)	HIT-family protein
ccol:BN865_11990	CDS	1129206..1130198	Phenylalanyl-tRNA synthetase alpha chain
ccol:BN865_12000	CDS	1130195..1132516	Phenylalanyl-tRNA synthetase beta chain
ccol:BN865_12020	CDS	1132513..1133793	5-Enolpyruvylshikimate-3-phosphate synthase
ccol:BN865_12030	CDS	1133783..1134613	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
ccol:BN865_12040	CDS	1134753..1136423	SSU ribosomal protein S1p
ccol:BN865_12050	CDS	1136423..1136914	Putative periplasmic protein
ccol:BN865_12060	CDS	1136911..1138494	D-3-phosphoglycerate dehydrogenase
ccol:BN865_12070	CDS	1138472..1139143	Two-component system response regulator
ccol:BN865_12080	CDS	1139137..1140420	Two-component system histidine kinase
ccol:BN865_12100	CDS	1140429..1142363	COG0488: ATPase components of ABC transporters with duplicated ATPase domains
ccol:tRNA-Gly-2	tRNA	1142435..1142506	tRNA-Gly
ccol:BN865_12110c	CDS	complement(1142632..1145100)	hypothetical protein
ccol:BN865_12120c	CDS	complement(1145267..1146433)	Molybdopterin biosynthesis protein MoeA
ccol:BN865_12130c	CDS	complement(1146430..1147686)	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
ccol:BN865_12140	CDS	1147878..1148741	membrane protein
ccol:BN865_12150c	CDS	complement(1148738..1149316)	Para-aminobenzoate synthase, amidotransferase component # PabAb
ccol:BN865_12160c	CDS	complement(1149313..1151091)	Para-aminobenzoate synthase, aminase component / Aminodeoxychorismate lyase
ccol:BN865_12170c	CDS	complement(1151081..1152145)	Integrase-recombinase protein XERCD family
ccol:BN865_12180	CDS	1152769..1153464	Inner membrane thiol:disulfide oxidoreductase, DsbB-like
ccol:BN865_12190	CDS	1153541..1154179	Periplasmic thiol:disulfide interchange protein, DsbA-like
ccol:BN865_12200	CDS	1154301..1154441	FIG00470282: hypothetical protein
ccol:BN865_12210c	CDS	complement(1154429..1155061)	Putative periplasmic protein
ccol:BN865_12220c	CDS	complement(1155058..1155300)	FIG00469466: hypothetical protein
ccol:BN865_12230c	CDS	complement(1155281..1156333)	3'-to-5' oligoribonuclease B, Bacillus type
ccol:BN865_12240c	CDS	complement(1156342..1158519)	Flagellar biosynthesis protein FlhA
ccol:BN865_12250c	CDS	complement(1158506..1158916)	Rrf2 family transcriptional regulator
ccol:BN865_12260	CDS	1159083..1159355	SSU ribosomal protein S15p (S13e)
ccol:BN865_12270c	CDS	complement(1159423..1162395)	Cell division protein FtsK
ccol:BN865_12280c	CDS	complement(1162504..1164753)	Flagellar hook-associated protein FlgL
ccol:tRNA-Leu-4	tRNA	1164981..1165064	tRNA-Leu
ccol:BN865_12290c	CDS	complement(1165080..1166081)	Flagellar sensory histidine kinase FlgS
ccol:BN865_12300c	CDS	complement(1166078..1166899)	FIG00469690: hypothetical protein
ccol:BN865_12310	CDS	1167003..1168271	Cysteine desulfurase
ccol:tRNA-Asp	tRNA	complement(1168278..1168351)	tRNA-Asp
ccol:tRNA-Val-2	tRNA	complement(1168376..1168448)	tRNA-Val
ccol:tRNA-Lys	tRNA	complement(1168464..1168536)	tRNA-Lys
ccol:BN865_12320c	CDS	complement(1168598..1169383)	Putative glutamine transport system permease
ccol:BN865_12330	CDS	1169508..1169885	FIG00469510: hypothetical protein
ccol:BN865_12340c	CDS	complement(1169943..1171148)	Lipoprotein releasing system transmembrane protein LolC
ccol:BN865_12350c	CDS	complement(1171145..1173733)	Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)
ccol:BN865_12360	CDS	1173842..1174351	Outer membrane lipoprotein carrier protein LolA
ccol:BN865_12370c	CDS	complement(1174355..1175050)	Putative periplasmic protein
ccol:BN865_12380c	CDS	complement(1175061..1176404)	Putative helicase
ccol:BN865_12390	CDS	1176453..1177817	Putative lipoprotein
ccol:BN865_12400c	CDS	complement(1177856..1178728)	N-carbamoylputrescine amidase / Omega amidase (Nit2 homolog)
ccol:BN865_12410c	CDS	complement(1178725..1179612)	Cobalt-zinc-cadmium resistance protein
ccol:BN865_12420c	CDS	complement(1179609..1180586)	Agmatine deiminase
ccol:BN865_12430c	CDS	complement(1180682..1181119)	Putative lipoprotein
ccol:BN865_12440c	CDS	complement(1181129..1182721)	methyl-accepting chemotaxis protein (tlpB), putative
ccol:BN865_12450c	CDS	complement(1182819..1184351)	IMP cyclohydrolase / Phosphoribosylaminoimidazolecarboxamide formyltransferase
ccol:BN865_12460c	CDS	complement(1184474..1185244)	DnaJ-like protein DjlA
ccol:BN865_12470c	CDS	complement(1185241..1187427)	Phosphoribosylformylglycinamidine synthase, synthetase subunit
ccol:BN865_12480c	CDS	complement(1187438..1188766)	GTPase and tRNA-U34 5-formylation enzyme TrmE
ccol:BN865_12490c	CDS	complement(1188759..1189610)	RNA-binding protein Jag
ccol:BN865_12510c	CDS	complement(1189614..1191209)	Inner membrane protein translocase component YidC, long form
ccol:BN865_12520c	CDS	complement(1191206..1191556)	Protein YidD
ccol:BN865_12530c	CDS	complement(1191544..1191870)	Ribonuclease P protein component
ccol:BN865_12540c	CDS	complement(1191867..1192001)	LSU ribosomal protein L34p
ccol:BN865_12550	CDS	1192141..1192620	Acetyltransferase, GNAT family
ccol:BN865_12560	CDS	1192617..1193225	DNA polymerase, bacteriophage-type
ccol:BN865_12570	CDS	1193222..1194418	Putative periplasmic protein
ccol:BN865_12580c	CDS	complement(1194410..1194784)	4-hydroxybenzoyl-CoA thioesterase family active site
ccol:BN865_12600	CDS	1195327..1197723	Putative periplasmic protein
ccol:BN865_12620	CDS	1197946..1201635	Filamentous haemagglutinin domain protein
ccol:BN865_12640	CDS	1201647..1203350	FIG00469655: hypothetical protein
ccol:BN865_12650c	CDS	complement(1203398..1204720)	membrane protein, putative
ccol:BN865_12660c	CDS	complement(1204717..1205589)	Zinc ABC transporter, periplasmic-binding protein ZnuA
ccol:BN865_12670	CDS	1205727..1206071	Peroxide stress regulator / Ferric uptake regulation protein
ccol:BN865_12680c	CDS	complement(1206122..1206970)	Signal peptidase I
ccol:BN865_12690c	CDS	complement(1206971..1207828)	Methylenetetrahydrofolate dehydrogenase (NADP+) / Methenyltetrahydrofolate cyclohydrolase
ccol:BN865_12700	CDS	1207906..1208253	FIG00711847: hypothetical protein
ccol:BN865_12710	CDS	1208250..1209524	Glutamate-1-semialdehyde aminotransferase
ccol:BN865_12720	CDS	1209521..1209826	membrane protein
ccol:BN865_12730	CDS	1209865..1210218	Probable integral membrane protein Cj0851c
ccol:BN865_12740	CDS	1210327..1211487	Transmembrane transport protein
ccol:BN865_12750	CDS	1211480..1213693	FIG00469420: hypothetical protein
ccol:BN865_12760	CDS	1213690..1213971	Uncharacterized homolog of the cytoplasmic domain of flagellar protein FhlB
ccol:BN865_12770c	CDS	complement(1213968..1214768)	Phosphatidylserine decarboxylase
ccol:BN865_12780c	CDS	complement(1214765..1215889)	Predicted phosphohydrolase
ccol:BN865_12790	CDS	1215976..1217271	Glutamyl-tRNA(Gln) synthetase
ccol:BN865_12800	CDS	1217275..1217556	Integral membrane protein YggT, involved in response to extracytoplasmic stress (osmotic shock)
ccol:BN865_12810	CDS	1217553..1219181	Soluble lytic murein transglycosylase precursor
ccol:BN865_12820	CDS	1219656..1220150	Putative ATP/GTP binding protein
ccol:BN865_12830	CDS	1220152..1220994	Fructose-1,6-bisphosphatase, type I
ccol:BN865_12850	CDS	1221193..1223079	Methionyl-tRNA synthetase
ccol:BN865_12860	CDS	1223081..1224028	FIG00387915: hypothetical protein
ccol:BN865_12870c	CDS	complement(1224001..1224477)	Methylated-DNA--protein-cysteine methyltransferase
ccol:BN865_12880	CDS	1224532..1227078	Aconitate hydratase 2 @ 2-methylisocitrate dehydratase
ccol:BN865_12890	CDS	1227137..1228378	Ankyrin repeat-containing possible periplasmic protein
ccol:BN865_12900	CDS	1228375..1229124	Oxidoreductase
ccol:BN865_12910	CDS	1229121..1230851	Na+/H+ antiporter
ccol:BN865_12920	CDS	1230848..1231924	tRNA (uracil(54)-C5)-methyltransferase
ccol:BN865_12930c	CDS	complement(1231948..1232358)	membrane protein
ccol:BN865_12940	CDS	1232534..1232953	CoA-binding domain protein
ccol:BN865_12950	CDS	1232947..1234158	Threonine dehydratase
ccol:BN865_12960c	CDS	complement(1234155..1234835)	tRNA pseudouridine synthase A
ccol:BN865_12970c	CDS	complement(1234877..1235737)	Predicted permease YjgP/YjgQ family
ccol:BN865_12980c	CDS	complement(1235727..1235903)	Predicted permease YjgP/YjgQ family
ccol:BN865_12990c	CDS	complement(1235912..1236679)	Leader peptidase (Prepilin peptidase) / N-methyltransferase
ccol:BN865_13000c	CDS	complement(1236669..1237337)	Undecaprenyl diphosphate synthase
ccol:BN865_13010c	CDS	complement(1237340..1237957)	FIG00469724: hypothetical protein
ccol:BN865_13020c	CDS	complement(1237954..1239111)	Phosphopantothenoylcysteine decarboxylase / Phosphopantothenoylcysteine synthetase
ccol:BN865_13030c	CDS	complement(1239108..1240397)	N-acetylglucosamine-1-phosphate uridyltransferase / Glucosamine-1-phosphate N-acetyltransferase
ccol:BN865_13040	CDS	1240537..1241280	Flagellar biosynthesis protein FliP
ccol:BN865_13050c	CDS	complement(1241304..1242074)	Glutamine-binding periplasmic protein
ccol:BN865_13060c	CDS	complement(1242265..1242984)	3-deoxy-manno-octulosonate cytidylyltransferase
ccol:BN865_13070c	CDS	complement(1242981..1244393)	Threonine synthase
ccol:BN865_13080c	CDS	complement(1244380..1245312)	Tetraacyldisaccharide 4'-kinase
ccol:BN865_13090c	CDS	complement(1245312..1246058)	NAD synthetase
ccol:BN865_13100	CDS	1246132..1246728	Hydroxyacylglutathione hydrolase
ccol:BN865_13110	CDS	1246740..1247045	Small hydrophobic protein
ccol:BN865_13120c	CDS	complement(1247148..1247927)	3-oxoacyl-[acyl-carrier protein] reductase
ccol:BN865_13130c	CDS	complement(1247927..1248823)	Dihydrodipicolinate synthase
ccol:BN865_13140c	CDS	complement(1248827..1250068)	Putative zinc protease
ccol:BN865_13150c	CDS	complement(1250065..1251123)	Dihydroorotate dehydrogenase
ccol:BN865_13160c	CDS	complement(1251168..1252901)	Phospholipid-lipopolysaccharide ABC transporter
ccol:BN865_13170c	CDS	complement(1252902..1254284)	Cysteinyl-tRNA synthetase
ccol:BN865_13180c	CDS	complement(1254284..1255756)	Proposed peptidoglycan lipid II flippase MurJ
ccol:BN865_13190	CDS	1255844..1257706	FIG00469647: hypothetical protein
ccol:BN865_13200	CDS	1257682..1258233	Holliday junction DNA helicase RuvA
ccol:BN865_13210	CDS	1258243..1259283	D-alanine--D-alanine ligase
ccol:BN865_13220	CDS	1259343..1259558	Hypothetical protein Cj0797c
ccol:BN865_13230	CDS	1259560..1260291	2-hydroxy-6-oxohepta-2,4-dienoate hydrolase
ccol:BN865_13240	CDS	1260285..1261712	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase
ccol:BN865_13250	CDS	1261895..1265404	Putative 2-acylglycerophosphoethanolamine acyltransferase / acyl-acyl carrier protein synthetase
ccol:BN865_13260c	CDS	complement(1265484..1266395)	membrane protein
ccol:BN865_13270c	CDS	complement(1266553..1267377)	Formyltetrahydrofolate deformylase
ccol:BN865_13280c	CDS	complement(1267378..1268484)	tRNA nucleotidyltransferase
ccol:BN865_13290c	CDS	complement(1268462..1268959)	hypothetical protein
ccol:BN865_13300c	CDS	complement(1268956..1269201)	FIG00469412: hypothetical protein
ccol:BN865_13310c	CDS	complement(1269248..1269829)	Putative threonine efflux protein
ccol:BN865_13320c	CDS	complement(1269829..1270149)	Branched-chain amino acid transport protein, putative
ccol:BN865_13330c	CDS	complement(1270139..1270819)	AzlC family protein
ccol:BN865_13340c	CDS	complement(1270816..1270992)	Small hydrophobic protein
ccol:BN865_13350c	CDS	complement(1271007..1271342)	Periplasmic nitrate reductase component NapD
ccol:BN865_13360c	CDS	complement(1271329..1272249)	Periplasmic nitrate reductase component NapL
ccol:BN865_13370c	CDS	complement(1272254..1272775)	Nitrate reductase cytochrome c550-type subunit
ccol:BN865_13380c	CDS	complement(1272775..1273557)	Polyferredoxin NapH (periplasmic nitrate reductase)
ccol:BN865_13390c	CDS	complement(1273557..1274297)	Ferredoxin-type protein NapG (periplasmic nitrate reductase)
ccol:BN865_13400c	CDS	complement(1274315..1277089)	Periplasmic nitrate reductase precursor
ccol:BN865_13410c	CDS	complement(1277359..1277886)	Thiol peroxidase, Tpx-type
ccol:BN865_13420c	CDS	complement(1277995..1278732)	Major antigenic peptide PEB2
ccol:BN865_13430c	CDS	complement(1278779..1280809)	ATP-dependent DNA helicase UvrD/PcrA/Rep, epsilon proteobacterial type 1
ccol:BN865_13450	CDS	1280931..1281965	Probable periplasmic protein Cj0776c
ccol:BN865_13460	CDS	1281989..1284601	Valyl-tRNA synthetase
ccol:BN865_13470	CDS	1284607..1285617	Methionine ABC transporter ATP-binding protein
ccol:BN865_13480	CDS	1285614..1286519	Methionine ABC transporter permease protein
ccol:BN865_13490	CDS	1286713..1287486	Methionine ABC transporter substrate-binding protein
ccol:BN865_13500	CDS	1287537..1288307	Methionine ABC transporter substrate-binding protein
ccol:BN865_13510	CDS	1288317..1289093	Methionine ABC transporter substrate-binding protein
ccol:BN865_13530	CDS	1289208..1289831	Flagellar basal-body P-ring formation protein FlgA
