arh:AHiyo8_pI65860	gene	pHiyo8-1:<1..492	AHiyo8_pI65860
arh:AHiyo8_56180	CDS	4026846..4027097	uncharacterized zinc-type alcohol dehydrogenase-like protein YahK
arh:AHiyo8_56190	CDS	4027094..4027522	uncharacterized HIT-like protein Rv0759c/MT0784
arh:AHiyo8_56200	CDS	complement(4027663..4027935)	ATP-dependent RNA helicase HrpA
arh:AHiyo8_56210	CDS	complement(4027953..4028369)	ATP-dependent RNA helicase HrpA
arh:AHiyo8_56220	CDS	complement(4028859..4029557)	ATP-dependent RNA helicase HrpA homolog
arh:AHiyo8_56230	CDS	complement(4029605..4030207)	ATP-dependent RNA helicase HrpA
arh:AHiyo8_56240	CDS	complement(4030350..4031396)	ATP-dependent RNA helicase HrpA
arh:AHiyo8_56250	CDS	complement(4031339..4031905)	ATP-dependent RNA helicase HrpA
arh:AHiyo8_56260	CDS	complement(4031874..4032374)	uncharacterized HTH-type transcriptional regulator YobV
arh:AHiyo8_56270	CDS	complement(4032394..4032651)	helix-Turn-Helix, type 11 protein
arh:AHiyo8_56280	CDS	complement(4032712..4033182)	hypothetical protein
arh:AHiyo8_56290	CDS	4033222..4033986	HTH-type transcriptional regulator CdhR
arh:AHiyo8_56300	CDS	complement(4033945..4034241)	hypothetical protein
arh:AHiyo8_56310	CDS	complement(4034275..4035168)	extracellular metalloprotease
arh:AHiyo8_56320	CDS	complement(4035407..4035577)	hypothetical protein
arh:AHiyo8_t00330	tRNA	complement(4035874..4035949)	tRNA-Arg
arh:AHiyo8_56330	CDS	complement(4036036..4036407)	conserved hypothetical protein
arh:AHiyo8_56340	CDS	complement(4036694..4037554)	oxidoreductase FAD/NAD(P)-binding
arh:AHiyo8_56350	CDS	complement(4037551..4038084)	thiamine biosynthesis lipoprotein ApbE
arh:AHiyo8_56360	CDS	complement(4038427..4038639)	FMN binding protein
arh:AHiyo8_56370	CDS	complement(4038642..4038845)	FMN binding protein
arh:AHiyo8_56380	CDS	4039066..4039593	arginine--tRNA ligase
arh:AHiyo8_56390	CDS	4039590..4040714	arginine--tRNA ligase
arh:AHiyo8_56400	CDS	4041066..4042187	diaminopimelate decarboxylase
arh:AHiyo8_56410	CDS	4042180..4043496	homoserine dehydrogenase
arh:AHiyo8_56420	CDS	4043497..4044603	threonine synthase
arh:AHiyo8_56430	CDS	4044728..4045579	homoserine kinase
arh:AHiyo8_56440	CDS	4046050..4047222	transcription termination factor Rho
arh:AHiyo8_56450	CDS	4047309..4047986	transcription termination factor Rho
arh:AHiyo8_56460	CDS	4048164..4049237	peptide chain release factor 1
arh:AHiyo8_56470	CDS	4049447..4050127	release factor glutamine methyltransferase
arh:AHiyo8_56480	CDS	4050140..4051132	putative threonylcarbamoyl-AMP synthase
arh:AHiyo8_56490	CDS	complement(4051266..4052648)	galactofuranosyl transferase GlfT1
arh:AHiyo8_56500	CDS	4052862..4053971	decaprenyl-phosphate N-acetylglucosaminephosphotransferase
arh:AHiyo8_56510	CDS	4054100..4054588	hypothetical protein
arh:AHiyo8_56520	CDS	4054575..4054913	hypothetical protein
arh:AHiyo8_56530	CDS	4054995..4055795	ATP synthase subunit a
arh:AHiyo8_56540	CDS	4055878..4056096	ATP synthase subunit c
arh:AHiyo8_56550	CDS	4056151..4056711	ATP synthase subunit b
arh:AHiyo8_56560	CDS	4056711..4057538	ATP synthase subunit delta
arh:AHiyo8_56570	CDS	4057589..4059070	ATP synthase subunit alpha
arh:AHiyo8_56580	CDS	4059351..4060238	ATP synthase gamma chain
arh:AHiyo8_56590	CDS	4060325..4060855	ATP synthase subunit beta
arh:AHiyo8_56600	CDS	4060864..4061778	ATP synthase subunit beta
arh:AHiyo8_56610	CDS	4061780..4062064	ATP synthase epsilon chain
arh:AHiyo8_56620	CDS	4062024..4062506	uncharacterized protein Rv1312/MT1352
arh:AHiyo8_56630	CDS	4062512..4063153	hypothetical protein
arh:AHiyo8_56640	CDS	4063177..4063821	uncharacterized protein Cgl0967/cg1104
arh:AHiyo8_56650	CDS	4063885..4064010	hypothetical protein
arh:AHiyo8_56660	CDS	4064057..4064614	hypothetical protein
arh:AHiyo8_56670	CDS	4064715..4065194	hypothetical protein
arh:AHiyo8_56680	CDS	4065219..4065839	uncharacterized protein Cgl0966/cg1103
arh:AHiyo8_56690	CDS	4065806..4066372	uncharacterized protein Cgl0966/cg1103
arh:AHiyo8_56700	CDS	complement(4066413..4066604)	hypothetical protein
arh:AHiyo8_56710	CDS	complement(4066908..4067369)	putative N-acetylglucosamine-6-phosphate deacetylase
arh:AHiyo8_56720	CDS	complement(4067318..4067644)	putative N-acetylglucosamine-6-phosphate deacetylase
arh:AHiyo8_56730	CDS	complement(4067641..4068114)	N-acetylglucosamine-6-phosphate deacetylase
arh:AHiyo8_56740	CDS	complement(4068260..4068763)	endonuclease NucS
arh:AHiyo8_56750	CDS	4068796..4068957	hypothetical protein
arh:AHiyo8_56760	CDS	4069128..4069310	uncharacterized protein Mb1356
arh:AHiyo8_56770	CDS	complement(4069295..4069627)	hypothetical protein
arh:AHiyo8_56780	CDS	4069708..4070121	hypothetical protein
arh:AHiyo8_56790	CDS	complement(4070146..4070610)	UPF0118 membrane protein YrrI
arh:AHiyo8_56800	CDS	complement(4070562..4071443)	conserved hypothetical protein
arh:AHiyo8_56810	CDS	4071635..4072285	hypothetical protein
arh:AHiyo8_56820	CDS	4072568..4073437	hypothetical protein
arh:AHiyo8_56830	CDS	4073586..4073969	uncharacterized protein Mb1359
arh:AHiyo8_56840	CDS	4073948..4074436	uncharacterized protein Mb1359
arh:AHiyo8_56850	CDS	4074436..4074822	putative NADPH dehydrogenase C23G7.10c
arh:AHiyo8_56860	CDS	4074897..4075538	NADPH dehydrogenase
arh:AHiyo8_56870	CDS	4075635..4076426	daunorubicin/doxorubicin resistance ATP-binding protein DrrA
arh:AHiyo8_56880	CDS	4076505..4077977	conserved hypothetical protein
arh:AHiyo8_56890	CDS	4078002..4078853	glucosamine-6-phosphate deaminase
arh:AHiyo8_56900	CDS	4078890..4079228	conserved hypothetical protein
arh:AHiyo8_56910	CDS	4079409..4081214	uncharacterized protein Rv2917/MT2985
arh:AHiyo8_56920	CDS	complement(4081211..4081837)	pyrazinamidase/nicotinamidase
arh:AHiyo8_56930	CDS	complement(4081838..4082146)	nicotinate phosphoribosyltransferase
arh:AHiyo8_56940	CDS	complement(4082134..4082760)	nicotinate phosphoribosyltransferase pncB1
arh:AHiyo8_56950	CDS	complement(4082814..4083098)	nicotinate phosphoribosyltransferase pncB1
arh:AHiyo8_56960	CDS	4083388..4083786	ATP-dependent Clp protease adapter protein ClpS
arh:AHiyo8_56970	CDS	4083779..4084345	uncharacterized protein ML1166
arh:AHiyo8_56980	CDS	4084440..4085132	glutamate racemase
arh:AHiyo8_56990	CDS	4085329..4085508	glutamate racemase
arh:AHiyo8_57000	CDS	complement(4085424..4085708)	hypothetical protein
arh:AHiyo8_57010	CDS	4085810..4086136	hypothetical protein
arh:AHiyo8_57020	CDS	4086127..4086300	uncharacterized protein ML1173
arh:AHiyo8_57030	CDS	4086343..4086819	ribonuclease PH
arh:AHiyo8_57040	CDS	4086774..4087100	ribonuclease PH
arh:AHiyo8_57050	CDS	4087097..4087738	non-canonical purine NTP pyrophosphatase
arh:AHiyo8_57060	CDS	complement(4087814..4088659)	protein DedA
arh:AHiyo8_57070	CDS	4088745..4089314	uncharacterized MFS-type transporter Rv0191/MT0201
arh:AHiyo8_57080	CDS	complement(4089489..4089611)	hypothetical protein
arh:AHiyo8_57090	CDS	4089716..4090000	major facilitator transporter protein
arh:AHiyo8_57100	CDS	4090148..4090327	hypothetical protein
arh:AHiyo8_57110	CDS	4090573..4091334	DNA polymerase III PolC-type
arh:AHiyo8_57120	CDS	4091331..4091501	DNA polymerase III
arh:AHiyo8_57130	CDS	4091702..4092115	conserved hypothetical protein
arh:AHiyo8_57140	CDS	complement(4092128..4092298)	uncharacterized protein MJ1187
arh:AHiyo8_57150	CDS	complement(4092301..4093008)	adp-Ribosyl-[Dinitrogen reductase] hydrolase
arh:AHiyo8_57160	CDS	4093287..4093643	inner membrane protein YidH
arh:AHiyo8_57170	CDS	4093640..4093990	hypothetical protein
arh:AHiyo8_57180	CDS	4094399..4095055	aquaporin Z
arh:AHiyo8_57190	CDS	4095146..4095382	nuclease SbcCD subunit D
arh:AHiyo8_57200	CDS	4095537..4096331	nuclease SbcCD subunit D
arh:AHiyo8_57210	CDS	4096456..4097265	nuclease SbcCD subunit C
arh:AHiyo8_57220	CDS	4097267..4097926	exonuclease
arh:AHiyo8_57230	CDS	4097875..4098861	exonuclease
arh:AHiyo8_57240	CDS	4099010..4099354	nuclease SbcCD subunit C
arh:AHiyo8_57250	CDS	4099687..4100889	hypothetical protein
arh:AHiyo8_57260	CDS	complement(4101046..4101453)	transcriptional regulator protein
arh:AHiyo8_57270	CDS	4101627..4101806	hypothetical protein
arh:AHiyo8_57280	CDS	4101926..4102258	NADH-dependent flavin reductase
arh:AHiyo8_57290	CDS	4102351..4102461	hypothetical protein
arh:AHiyo8_57300	CDS	4102600..4103409	4-hydroxyphenylacetate 3-monooxygenase oxygenase component
arh:AHiyo8_57310	CDS	4103406..4103978	4-hydroxyphenylacetate 3-monooxygenase oxygenase component
arh:AHiyo8_57320	CDS	complement(4104155..4104808)	uncharacterized protein Rv2030c/MT2089
arh:AHiyo8_57330	CDS	4105117..4105302	hypothetical protein
arh:AHiyo8_57340	CDS	complement(4105388..4106170)	putative esterase YtxM
arh:AHiyo8_57350	CDS	complement(4106175..4106504)	dihydrolipoyllysine-residue acyltransferase component of branched-chain alpha-ketoacid dehydrogenase complex
arh:AHiyo8_57360	CDS	complement(4106497..4107045)	pyruvate dehydrogenase E1 component subunit beta
arh:AHiyo8_57370	CDS	complement(4107172..4108575)	3-methyl-2-oxobutanoate dehydrogenase subunit alpha
arh:AHiyo8_57380	CDS	complement(4108797..4109537)	GABA permease
arh:AHiyo8_57390	CDS	complement(4109591..4110019)	aromatic amino acid transport protein AroP
arh:AHiyo8_57400	CDS	complement(4109986..4110177)	aromatic amino acid transport protein AroP
arh:AHiyo8_57410	CDS	4110355..4110834	uncharacterized HTH-type transcriptional regulator PH1519
arh:AHiyo8_57420	CDS	complement(4110875..4111576)	hypothetical protein
arh:AHiyo8_57430	CDS	4111846..4112415	quinolinate synthase A
arh:AHiyo8_57440	CDS	4112439..4112945	quinolinate synthase A
arh:AHiyo8_57450	CDS	complement(4113057..4113374)	hypothetical protein
arh:AHiyo8_57460	CDS	4113413..4114042	L-aspartate oxidase
arh:AHiyo8_57470	CDS	4114240..4114740	succinate dehydrogenase flavoprotein subunit
arh:AHiyo8_57480	CDS	4114733..4115629	probable nicotinate-nucleotide pyrophosphorylase [carboxylating]
arh:AHiyo8_57490	CDS	4115634..4116227	cysteine desulfurase
arh:AHiyo8_57500	CDS	complement(4116233..4116499)	hypothetical protein
arh:AHiyo8_57510	CDS	4116592..4116789	cysteine desulfurase
arh:AHiyo8_57520	CDS	complement(4116868..4117359)	hypothetical protein
arh:AHiyo8_57530	CDS	complement(4117372..4118226)	uncharacterized protein MJ1656
arh:AHiyo8_57540	CDS	complement(4118236..4118934)	conserved hypothetical protein
arh:AHiyo8_57550	CDS	4119059..4119868	hypothetical protein
arh:AHiyo8_57560	CDS	4119947..4120753	uncharacterized protein ML0607
arh:AHiyo8_57570	CDS	complement(4120689..4121228)	transcriptional regulator, MarR family protein
arh:AHiyo8_57580	CDS	complement(4121225..4121626)	hypothetical protein
arh:AHiyo8_57590	CDS	complement(4122099..4122419)	luciferase
arh:AHiyo8_57600	CDS	complement(4122519..4124351)	swarming motility protein SwrC
arh:AHiyo8_57610	CDS	complement(4124309..4125694)	multidrug resistance protein MdtB
arh:AHiyo8_57620	CDS	complement(4125759..4127264)	probable malate:quinone oxidoreductase
arh:AHiyo8_57630	CDS	complement(4127343..4129010)	heme-binding protein A
arh:AHiyo8_t00320	tRNA	complement(4129145..4129226)	tRNA-Leu
arh:AHiyo8_57640	CDS	complement(4129325..4129813)	putative peroxiredoxin Rv2521/MT2597
arh:AHiyo8_57650	CDS	4129851..4130411	uncharacterized HTH-type transcriptional regulator YwoH
arh:AHiyo8_t00310	tRNA	complement(4130508..4130583)	tRNA-Lys
arh:AHiyo8_t00300	tRNA	complement(4130654..4130729)	tRNA-Lys
arh:AHiyo8_57660	CDS	complement(4130843..4131259)	uncharacterized protein slr1608
arh:AHiyo8_57670	CDS	complement(4131498..4131947)	glucose/Sorbosone dehydrogenase
arh:AHiyo8_57680	CDS	complement(4132003..4132428)	uncharacterized membrane protein ArfC
arh:AHiyo8_57690	CDS	4133357..4134586	dihydroxy-acid dehydratase
arh:AHiyo8_57700	CDS	4134583..4134741	dihydroxy-acid dehydratase
arh:AHiyo8_57710	CDS	4134734..4135075	dihydroxy-acid dehydratase
arh:AHiyo8_57720	CDS	4135507..4136052	acetolactate synthase large subunit
arh:AHiyo8_57730	CDS	4136022..4137407	acetolactate synthase
arh:AHiyo8_57740	CDS	4137410..4137922	acetolactate synthase small subunit
arh:AHiyo8_57750	CDS	complement(4137985..4138326)	hypothetical protein
arh:AHiyo8_57760	CDS	4138410..4139027	ketol-acid reductoisomerase
arh:AHiyo8_57770	CDS	4139361..4139879	D-3-phosphoglycerate dehydrogenase
arh:AHiyo8_57780	CDS	4139849..4140805	D-3-phosphoglycerate dehydrogenase
arh:AHiyo8_57790	CDS	4141016..4141285	conserved hypothetical protein
arh:AHiyo8_57800	CDS	4141363..4141947	conserved hypothetical protein
arh:AHiyo8_57810	CDS	4141944..4143020	hypothetical protein
arh:AHiyo8_57820	CDS	4143002..4143778	hypothetical protein
arh:AHiyo8_57830	CDS	4143813..4144358	lipoprotein-releasing system ATP-binding protein LolD
arh:AHiyo8_57840	CDS	4144324..4144566	uncharacterized ABC transporter ATP-binding protein MJ1508
arh:AHiyo8_57850	CDS	4144645..4146282	methionine--tRNA ligase
arh:AHiyo8_57860	CDS	4146697..4147482	hypothetical protein
arh:AHiyo8_57870	CDS	4147555..4148256	hypothetical protein
arh:AHiyo8_57880	CDS	complement(4148236..4148508)	hypothetical protein
arh:AHiyo8_57890	CDS	complement(4148699..4148959)	hypothetical protein
arh:AHiyo8_57900	CDS	4148975..4149409	3-isopropylmalate dehydrogenase
arh:AHiyo8_57910	CDS	4149543..4149866	branched-chain-amino-acid aminotransferase
arh:AHiyo8_57920	CDS	4149830..4150288	branched-chain-amino-acid aminotransferase
arh:AHiyo8_57930	CDS	4150285..4150653	branched-chain-amino-acid aminotransferase
arh:AHiyo8_57940	CDS	complement(4150771..4151505)	hypothetical protein
arh:AHiyo8_57950	CDS	4151533..4152522	beta-lactamase-like protein 2
arh:AHiyo8_57960	CDS	4152569..4153273	uncharacterized protein AF_2225
arh:AHiyo8_57970	CDS	4153362..4154000	glutamate--tRNA ligase
arh:AHiyo8_57980	CDS	4153946..4154890	glutamate--tRNA ligase
arh:AHiyo8_57990	CDS	4154887..4155297	hydrolase
arh:AHiyo8_58000	CDS	4155386..4155598	uncharacterized HAD-hydrolase MK0970
arh:AHiyo8_58010	CDS	complement(4155609..4156100)	hypothetical protein
arh:AHiyo8_58020	CDS	complement(4156326..4156757)	hypothetical protein
arh:AHiyo8_58030	CDS	complement(4156924..4157067)	hypothetical protein
arh:AHiyo8_t00200	tRNA	complement(4157410..4157481)	tRNA-Gln
arh:AHiyo8_t00210	tRNA	complement(4157623..4157698)	tRNA-Glu
arh:AHiyo8_58040	CDS	complement(4157800..4158363)	hypothetical protein
arh:AHiyo8_58050	CDS	complement(4158435..4159064)	HTH-type transcriptional repressor AllR
arh:AHiyo8_58060	CDS	4159226..4160143	3-isopropylmalate dehydratase large subunit
arh:AHiyo8_58070	CDS	4160107..4160718	3-isopropylmalate dehydratase large subunit
arh:AHiyo8_58080	CDS	4160728..4160817	3-isopropylmalate dehydratase small subunit
arh:AHiyo8_58090	CDS	4160814..4161329	3-isopropylmalate dehydratase small subunit
arh:AHiyo8_58100	CDS	complement(4161272..4161433)	hypothetical protein
arh:AHiyo8_58110	CDS	4161833..4163158	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
arh:AHiyo8_58120	CDS	4163197..4163544	hypothetical protein
arh:AHiyo8_58130	CDS	4163681..4163944	hypothetical protein
arh:AHiyo8_58140	CDS	4163941..4164993	glycerol-3-phosphate dehydrogenase [NAD(P)+]
arh:AHiyo8_58150	CDS	4164996..4165922	D-alanine--D-alanine ligase
arh:AHiyo8_58160	CDS	4165897..4166193	D-alanine--D-alanine ligase
arh:AHiyo8_58170	CDS	complement(4166157..4166501)	hypothetical protein
arh:AHiyo8_58180	CDS	complement(4166509..4166745)	hypothetical protein
arh:AHiyo8_58190	CDS	4167172..4167525	thiamine-monophosphate kinase
arh:AHiyo8_58200	CDS	4167522..4167851	thiamine-monophosphate kinase
arh:AHiyo8_58210	CDS	4167841..4168200	glycerone kinase
arh:AHiyo8_58220	CDS	4168140..4168427	glycerone kinase
arh:AHiyo8_58230	CDS	4168382..4168909	glycerone kinase
arh:AHiyo8_58240	CDS	4168899..4170764	ATP-dependent DNA helicase RecG
arh:AHiyo8_58250	CDS	complement(4170598..4171197)	hypothetical protein
arh:AHiyo8_58260	CDS	4171221..4171793	putative rRNA methyltransferase YlbH
arh:AHiyo8_58270	CDS	complement(4171828..4172583)	hypothetical protein
arh:AHiyo8_58280	CDS	complement(4172586..4173479)	probable N-succinyldiaminopimelate aminotransferase DapC
arh:AHiyo8_58290	CDS	complement(4173476..4173814)	methionine aminotransferase
arh:AHiyo8_58300	CDS	4174123..4174404	phosphopantetheine adenylyltransferase
arh:AHiyo8_58310	CDS	complement(4174482..4174874)	hypothetical protein
arh:AHiyo8_58320	CDS	4175166..4175312	50S ribosomal protein L32
arh:AHiyo8_58330	CDS	4175335..4175748	ribonuclease 3
arh:AHiyo8_58340	CDS	4175748..4176065	ribonuclease 3
arh:AHiyo8_58350	CDS	4176074..4177060	formamidopyrimidine-DNA glycosylase
arh:AHiyo8_58360	CDS	complement(4176922..4177965)	hypothetical protein
arh:AHiyo8_58370	CDS	complement(4178131..4178352)	hypothetical protein
arh:AHiyo8_58380	CDS	4178478..4178831	chromosome partition protein Smc
arh:AHiyo8_58390	CDS	4178819..4179745	chromosome partition protein Smc
arh:AHiyo8_58400	CDS	4179732..4180754	chromosome partition protein Smc
arh:AHiyo8_58410	CDS	4181061..4181996	signal recognition particle receptor FtsY
arh:AHiyo8_58420	CDS	complement(4182064..4182666)	multidrug resistance protein 2
arh:AHiyo8_58430	CDS	complement(4182663..4182932)	hypothetical protein
arh:AHiyo8_58440	CDS	complement(4182932..4183306)	tetracycline resistance protein, class B
arh:AHiyo8_58450	CDS	4183530..4183622	hypothetical protein
arh:AHiyo8_58460	CDS	4183619..4184437	probable ammonia channel
arh:AHiyo8_58470	CDS	4184488..4184862	putative ammonium transporter sll0108
arh:AHiyo8_58480	CDS	4184859..4185197	nitrogen regulatory protein P-II
arh:AHiyo8_58490	CDS	complement(4185296..4185526)	glucose-6-Phosphate 1-dehydrogenase
arh:AHiyo8_58500	CDS	complement(4185523..4187331)	glucose-6-phosphate 1-dehydrogenase
arh:AHiyo8_58510	CDS	4187427..4187777	signal recognition particle protein
arh:AHiyo8_58520	CDS	4187735..4188142	signal recognition particle protein
arh:AHiyo8_58530	CDS	4188085..4188408	signal recognition particle protein
arh:AHiyo8_58540	CDS	4188512..4189084	hypothetical protein
arh:AHiyo8_58550	CDS	4189078..4189320	hypothetical protein
arh:AHiyo8_58560	CDS	complement(4189262..4190680)	phosphomethylpyrimidine synthase
arh:AHiyo8_58570	CDS	4190815..4191183	hypothetical protein
arh:AHiyo8_58580	CDS	4191261..4191512	uncharacterized protein Mb2939c
arh:AHiyo8_58590	CDS	4191924..4192283	uncharacterized protein Mb2939c
arh:AHiyo8_58600	CDS	4192427..4192831	glyoxalase/Bleomycin resistance protein/dioxygenase
arh:AHiyo8_58610	CDS	4192863..4193303	catechol-2,3-dioxygenase
arh:AHiyo8_58620	CDS	complement(4193172..4193720)	hypothetical protein
arh:AHiyo8_58630	CDS	4193960..4194433	30S ribosomal protein S16
arh:AHiyo8_58640	CDS	4194805..4194945	ribosome maturation factor RimM
arh:AHiyo8_58650	CDS	4194942..4195139	ribosome maturation factor RimM
arh:AHiyo8_58660	CDS	4195145..4195303	ribosome maturation factor RimM
arh:AHiyo8_58670	CDS	4195366..4196322	tRNA (guanine-N(1)-)-methyltransferase
arh:AHiyo8_58680	CDS	4196514..4196873	50S ribosomal protein L19
arh:AHiyo8_58690	CDS	4196952..4197629	probable signal peptidase I
arh:AHiyo8_58700	CDS	4197630..4198577	signal peptidase I
arh:AHiyo8_58710	CDS	4198577..4199314	ribonuclease HII
arh:AHiyo8_58720	CDS	4199393..4199737	uncharacterized protein Mb2925c
arh:AHiyo8_58730	CDS	4199851..4200207	UPF0102 protein Arth_2474
arh:AHiyo8_58740	CDS	4200208..4200936	uncharacterized protein Mb2921c
arh:AHiyo8_58750	CDS	complement(4201234..4201878)	hypothetical protein
arh:AHiyo8_58760	CDS	4202069..4202959	hypothetical protein
arh:AHiyo8_58770	CDS	4202959..4203816	hypothetical protein
arh:AHiyo8_58780	CDS	4204072..4204368	hypothetical protein
arh:AHiyo8_58790	CDS	complement(4204483..4204962)	conserved hypothetical protein
arh:AHiyo8_58800	CDS	complement(4204949..4205449)	hypothetical protein
arh:AHiyo8_58810	CDS	complement(4205518..4205946)	hypothetical protein
arh:AHiyo8_58820	CDS	complement(4205936..4206133)	hypothetical protein
arh:AHiyo8_58830	CDS	complement(4207006..4207509)	hypothetical protein
arh:AHiyo8_58840	CDS	complement(4207643..4207942)	hypothetical protein
arh:AHiyo8_58850	CDS	complement(4207979..4208425)	hypothetical protein
arh:AHiyo8_58860	CDS	complement(4208461..4208784)	hypothetical protein
arh:AHiyo8_58870	CDS	complement(4208781..4209011)	hypothetical protein
arh:AHiyo8_58880	CDS	complement(4208993..4209253)	hypothetical protein
arh:AHiyo8_58890	CDS	complement(4209488..4210252)	mitochondrial prohibitin complex protein 1
arh:AHiyo8_58900	CDS	complement(4210434..4210688)	hypothetical protein
arh:AHiyo8_58910	CDS	complement(4210737..4211822)	cell division cycle protein 48 homolog AF_1297
arh:AHiyo8_58920	CDS	complement(4211822..4212073)	hypothetical protein
arh:AHiyo8_58930	CDS	complement(4212283..4212870)	transposon Tn2501 resolvase
arh:AHiyo8_58940	CDS	complement(4212870..4213106)	hypothetical protein
arh:AHiyo8_58950	CDS	complement(4213407..4213868)	hypothetical protein
arh:AHiyo8_58960	CDS	complement(4213853..4214137)	hypothetical protein
arh:AHiyo8_58970	CDS	complement(4214134..4214316)	hypothetical protein
arh:AHiyo8_58980	CDS	complement(4214316..4214513)	hypothetical protein
arh:AHiyo8_58990	CDS	complement(4214504..4215211)	conserved hypothetical protein
arh:AHiyo8_59000	CDS	complement(4215326..4215628)	hypothetical protein
arh:AHiyo8_59010	CDS	4215933..4216400	hypothetical protein
arh:AHiyo8_59020	CDS	4216442..4216636	hypothetical protein
arh:AHiyo8_59030	CDS	complement(4216933..4217079)	hypothetical protein
arh:AHiyo8_59040	CDS	4218327..4218623	hypothetical protein
arh:AHiyo8_59050	CDS	4218670..4219155	hypothetical protein
arh:AHiyo8_59060	CDS	4220092..4220283	hypothetical protein
arh:AHiyo8_59070	CDS	4220412..4220648	hypothetical protein
arh:AHiyo8_59080	CDS	4220792..4221211	conserved hypothetical protein
arh:AHiyo8_59090	CDS	4221208..4222002	DNA primase
arh:AHiyo8_59100	CDS	4221999..4222193	hypothetical protein
arh:AHiyo8_59110	CDS	4222237..4222608	hypothetical protein
arh:AHiyo8_59120	CDS	4222611..4222937	hypothetical protein
arh:AHiyo8_59130	CDS	4222940..4223239	hypothetical protein
arh:AHiyo8_59140	CDS	4223239..4223586	hypothetical protein
arh:AHiyo8_59150	CDS	complement(4224670..4225512)	monofunctional biosynthetic peptidoglycan transglycosylase
arh:AHiyo8_59160	CDS	complement(4225768..4226463)	hypothetical protein
arh:AHiyo8_59170	CDS	4226698..4227738	hypothetical protein
arh:AHiyo8_59180	CDS	complement(4227712..4228764)	DNA adenine methyltransferase YhdJ
arh:AHiyo8_59190	CDS	4228961..4229500	hypothetical protein
arh:AHiyo8_59200	CDS	4229500..4230897	conserved hypothetical protein
arh:AHiyo8_59210	CDS	complement(4230899..4231714)	conserved hypothetical protein
arh:AHiyo8_59220	CDS	4232164..4232448	portal protein
arh:AHiyo8_59230	CDS	4232519..4232791	uncharacterized protein RBE_0759
arh:AHiyo8_59240	CDS	4232788..4233255	portal protein
arh:AHiyo8_59250	CDS	4233507..4233980	hypothetical protein
arh:AHiyo8_59260	CDS	4234157..4235107	conserved hypothetical protein
arh:AHiyo8_59270	CDS	4235249..4236403	major capsid protein
arh:AHiyo8_59280	CDS	4236414..4236623	hypothetical protein
arh:AHiyo8_59290	CDS	4236623..4237015	hypothetical protein
arh:AHiyo8_59300	CDS	4237386..4237685	hypothetical protein
arh:AHiyo8_59310	CDS	4237685..4238008	hypothetical protein
arh:AHiyo8_59320	CDS	4237998..4238342	hypothetical protein
arh:AHiyo8_59330	CDS	4238339..4238500	hypothetical protein
arh:AHiyo8_59340	CDS	4238497..4238982	hypothetical protein
arh:AHiyo8_59350	CDS	4239279..4240169	hypothetical protein
arh:AHiyo8_59360	CDS	4240162..4240539	hypothetical protein
arh:AHiyo8_59370	CDS	4240766..4242388	conserved hypothetical protein
arh:AHiyo8_59380	CDS	4242460..4243074	phage tail tape measure protein
arh:AHiyo8_59390	CDS	4243022..4243660	hypothetical protein
arh:AHiyo8_59400	CDS	4243875..4245023	hypothetical protein
arh:AHiyo8_59410	CDS	4245016..4245375	hypothetical protein
arh:AHiyo8_59420	CDS	4245504..4245971	hypothetical protein
arh:AHiyo8_59430	CDS	4246042..4246314	hypothetical protein
arh:AHiyo8_59440	CDS	4246473..4247294	hypothetical protein
arh:AHiyo8_59450	CDS	4247737..4248063	hypothetical protein
arh:AHiyo8_59460	CDS	4248507..4249082	hypothetical protein
arh:AHiyo8_59470	CDS	4249082..4249699	hypothetical protein
arh:AHiyo8_59480	CDS	4249696..4249887	hypothetical protein
arh:AHiyo8_59490	CDS	4250000..4250365	nucleoid-associated protein Lsr2
arh:AHiyo8_59500	CDS	complement(4250427..4252607)	conserved hypothetical protein
arh:AHiyo8_59510	CDS	complement(4252708..4253142)	hypothetical protein
arh:AHiyo8_59520	CDS	complement(4253180..4253380)	hypothetical protein
arh:AHiyo8_59530	CDS	4253548..4254216	hypothetical protein
arh:AHiyo8_59540	CDS	complement(4254255..4255694)	putative DNA recombinase
arh:AHiyo8_59550	CDS	4255711..4256361	uncharacterized protein Mb2921c
arh:AHiyo8_59560	CDS	4256373..4256813	protein involved in DNA mediated transformation
arh:AHiyo8_59570	CDS	4256795..4257001	uncharacterized protein Rv2896c/MT2964
arh:AHiyo8_59580	CDS	4256983..4257597	uncharacterized protein Rv2896c/MT2964
arh:AHiyo8_59590	CDS	complement(4257626..4257796)	hypothetical protein
arh:AHiyo8_59600	CDS	4257898..4258632	tyrosine recombinase XerC
arh:AHiyo8_59610	CDS	4259033..4259395	hypothetical protein
arh:AHiyo8_59620	CDS	complement(4259540..4260385)	3-oxoacyl-[acyl-carrier-protein] synthase 2
arh:AHiyo8_59630	CDS	complement(4260382..4260774)	3-oxoacyl-[acyl-carrier-protein] synthase 2
arh:AHiyo8_59640	CDS	complement(4260914..4261159)	acyl carrier protein
arh:AHiyo8_59650	CDS	complement(4261269..4262378)	3-oxoacyl-[acyl-carrier-protein] synthase 3
arh:AHiyo8_59660	CDS	complement(4262326..4263255)	malonyl CoA-acyl carrier protein transacylase
