chg:AXF12_00010	ncRNA	complement(404..502)	ffs; signal recognition particle sRNA small type
chg:AXF12_06140	CDS	complement(1370979..1371326)	addiction module toxin RelE
chg:AXF12_06145	CDS	1371758..1372495	LPS export ABC transporter ATP-binding protein
chg:AXF12_06150	CDS	1372595..1373818	peptidase T
chg:AXF12_06155	ncRNA	1374001..1374304	rnpB; RNase P RNA component class A
chg:AXF12_06160	CDS	complement(1374304..1375350)	ferredoxin
chg:AXF12_06165	CDS	complement(1375376..1376860)	hypothetical protein
chg:AXF12_06170	CDS	complement(1376897..1378414)	carboxyl-terminal-processing protease
chg:AXF12_06175	CDS	1378893..1380725	DNA mismatch repair protein MutL
chg:AXF12_06180	CDS	1380727..1381491	rhomboid family intramembrane serine protease
chg:AXF12_06185	CDS	1381526..1382242	collagen-binding protein
chg:AXF12_06190	CDS	1382359..1382709	ferredoxin
chg:AXF12_06195	CDS	1382737..1383990	pyridine nucleotide-disulfide oxidoreductase
chg:AXF12_06200	CDS	1384007..1385854	DNA topoisomerase IV
chg:AXF12_06205	CDS	complement(1385943..1386491)	RNA polymerase subunit sigma-70
chg:AXF12_06210	CDS	complement(1386707..1387423)	bacillithiol biosynthesis deacetylase BshB1
chg:AXF12_06215	CDS	complement(1387431..1388375)	hypothetical protein
chg:AXF12_06220	CDS	complement(1388720..1389271)	glutathione peroxidase
chg:AXF12_06225	CDS	1389353..1389955	hypothetical protein
chg:AXF12_06230	CDS	complement(1390040..1390783)	fumarate reductase
chg:AXF12_06235	CDS	complement(1390893..1392923)	sdhA; succinate dehydrogenase
chg:AXF12_06240	CDS	complement(1392926..1393600)	succinate dehydrogenase
chg:AXF12_06245	CDS	1394310..1396922	TonB-dependent receptor
chg:AXF12_06250	CDS	1397140..1399116	recombinase
chg:AXF12_06255	CDS	complement(1399198..1399971)	ABC transporter ATP-binding protein
chg:AXF12_06260	CDS	complement(1399968..1400849)	ACP S-malonyltransferase
chg:AXF12_06265	CDS	1401416..1402633	hypothetical protein
chg:AXF12_06270	CDS	complement(1402705..1403370)	uracil-DNA glycosylase
chg:AXF12_06275	CDS	complement(1403383..1403622)	hypothetical protein
chg:AXF12_06280	gene	complement(1403780..1406308)	pseudogene
chg:AXF12_06285	CDS	1406627..1407931	ribosome biogenesis GTPase Der
chg:AXF12_06290	CDS	1407966..1408940	D-alanine--D-alanine ligase
chg:AXF12_06295	CDS	1408937..1409392	phosphopantetheine adenylyltransferase
chg:AXF12_06300	CDS	1409417..1411258	glutamine--fructose-6-phosphate aminotransferase
chg:AXF12_06305	CDS	1411330..1411680	aspartate decarboxylase
chg:AXF12_06310	CDS	1411677..1412630	hypothetical protein
chg:AXF12_06315	tRNA	complement(1412720..1412806)	tRNA-Leu
chg:AXF12_06320	tRNA	complement(1412811..1412886)	tRNA-Lys
chg:AXF12_06325	tRNA	complement(1412918..1412993)	tRNA-Lys
chg:AXF12_06330	tRNA	complement(1413022..1413094)	tRNA-Lys
chg:AXF12_06335	tRNA	complement(1413123..1413198)	tRNA-Lys
chg:AXF12_06340	CDS	1413326..1413862	shikimate kinase
chg:AXF12_06345	CDS	complement(1413855..1414616)	hypothetical protein
chg:AXF12_06350	CDS	complement(1414621..1416372)	BatD protein
chg:AXF12_06355	CDS	complement(1416414..1417328)	aerotolerance regulator BatC
chg:AXF12_06360	CDS	complement(1417357..1418397)	BatB protein
chg:AXF12_06365	CDS	complement(1418515..1418922)	hypothetical protein
chg:AXF12_06370	CDS	complement(1418913..1419944)	threonine aldolase
chg:AXF12_06375	CDS	1420319..1420918	metallopeptidase
chg:AXF12_06380	CDS	1420925..1421998	mannose-1-phosphate guanylyltransferase
chg:AXF12_06385	CDS	1421983..1422441	acid protease
chg:AXF12_06390	CDS	1423012..1423827	peptidase M48
chg:AXF12_06395	CDS	1423856..1424683	purine-nucleoside phosphorylase
chg:AXF12_06400	CDS	1424817..1426229	thioredoxin
chg:AXF12_06405	CDS	1426233..1426754	hypothetical protein
chg:AXF12_06410	CDS	1426758..1427957	nucleoside-diphosphate sugar epimerase
chg:AXF12_06415	CDS	1427959..1429104	aminotransferase DegT
chg:AXF12_06420	CDS	1429109..1430146	nucleotidyltransferase
chg:AXF12_06425	CDS	1430161..1430568	hypothetical protein
chg:AXF12_06430	CDS	1430555..1430971	hypothetical protein
chg:AXF12_06435	gene	1430943..1431379	pseudogene
chg:AXF12_06440	CDS	1431376..1432590	hypothetical protein
chg:AXF12_06445	CDS	1432587..1433693	aminotransferase
chg:AXF12_06450	CDS	1433697..1434647	hypothetical protein
chg:AXF12_06455	CDS	1434647..1436122	hypothetical protein
chg:AXF12_06460	CDS	1436119..1437033	hypothetical protein
chg:AXF12_06465	CDS	1437030..1438010	hypothetical protein
chg:AXF12_06470	CDS	1438007..1439125	UDP-N-acetyl glucosamine 2-epimerase
chg:AXF12_06475	CDS	1439129..1440196	hypothetical protein
chg:AXF12_06480	CDS	1440205..1441053	glycosyltransferase
chg:AXF12_06485	CDS	1441034..1442113	beta-carotene 15,15'-monooxygenase
chg:AXF12_06490	CDS	1442162..1442977	amylovoran biosynthesis protein AmsE
chg:AXF12_06495	CDS	1443014..1444174	GDP-mannose 4,6 dehydratase
chg:AXF12_06500	CDS	1444187..1445257	GDP-fucose synthetase
chg:AXF12_06505	CDS	1445640..1446410	hypothetical protein
chg:AXF12_06510	CDS	1446612..1447337	hypothetical protein
chg:AXF12_06515	CDS	complement(1447624..1449387)	DEAD/DEAH box helicase
chg:AXF12_06520	CDS	1449392..1449577	hypothetical protein
chg:AXF12_06525	CDS	complement(1449756..1453106)	secA; preprotein translocase subunit SecA
chg:AXF12_06530	CDS	complement(1453329..1453550)	hypothetical protein
chg:AXF12_06535	CDS	complement(1453778..1455256)	proline--tRNA ligase
chg:AXF12_06540	CDS	complement(1455258..1456937)	peptidase S41
chg:AXF12_06545	CDS	complement(1456964..1459078)	disulfide bond formation protein DsbD
chg:AXF12_06550	CDS	complement(1459406..1459954)	cell filamentation protein Fic
chg:AXF12_06555	CDS	complement(1459991..1461208)	RNA methyltransferase
chg:AXF12_06560	CDS	complement(1461404..1462981)	hypothetical protein
chg:AXF12_06565	CDS	complement(1463004..1464068)	hypothetical protein
chg:AXF12_06570	CDS	complement(1464260..1464577)	hypothetical protein
chg:AXF12_06575	CDS	1464670..1464924	hypothetical protein
chg:AXF12_06580	CDS	complement(1465001..1466029)	aminodeoxychorismate lyase
chg:AXF12_06585	CDS	complement(1466154..1468379)	polyribonucleotide nucleotidyltransferase
chg:AXF12_06590	CDS	complement(1468486..1468755)	30S ribosomal protein S15
chg:AXF12_06595	CDS	complement(1469019..1469822)	hypothetical protein
chg:AXF12_06600	CDS	complement(1470060..1471952)	molecular chaperone DnaK
chg:AXF12_06605	CDS	complement(1472134..1474548)	ATPase
chg:AXF12_06610	CDS	complement(1474554..1474754)	ATPase P
chg:AXF12_06615	CDS	complement(1474861..1475766)	hypothetical protein
chg:AXF12_06620	CDS	1476127..1476696	molecular chaperone GrpE
chg:AXF12_06625	CDS	1476707..1477816	molecular chaperone DnaJ
chg:AXF12_06630	CDS	1477970..1478698	hypothetical protein
chg:AXF12_06635	CDS	1478886..1479554	hypothetical protein
chg:AXF12_06640	CDS	complement(1479817..1480248)	CMP deaminase
chg:AXF12_06645	CDS	complement(1480211..1481140)	bifunctional riboflavin kinase/FMN adenylyltransferase
chg:AXF12_06650	CDS	complement(1481115..1482905)	AMP-dependent synthetase
chg:AXF12_06655	CDS	complement(1483184..1485421)	alpha-mannosidase
chg:AXF12_06660	CDS	complement(1485429..1486616)	phosphopantothenoylcysteine decarboxylase
chg:AXF12_06665	CDS	complement(1486706..1487020)	hypothetical protein
chg:AXF12_06670	CDS	complement(1487033..1487830)	hypothetical protein
chg:AXF12_06675	CDS	complement(1488152..1488898)	beta-ketoacyl-ACP reductase
chg:AXF12_06680	CDS	complement(1488942..1489262)	translation initiation factor SUI1-related protein
chg:AXF12_06685	CDS	complement(1489273..1490802)	hypothetical protein
chg:AXF12_06690	CDS	complement(1490799..1491608)	glycogen synthase
chg:AXF12_06695	CDS	1491664..1492560	pantoate--beta-alanine ligase
chg:AXF12_06700	CDS	complement(1492626..1493249)	rhodanese
chg:AXF12_06705	CDS	complement(1493325..1493630)	addiction module toxin YoeB
chg:AXF12_06710	CDS	complement(1493620..1493868)	hypothetical protein
chg:AXF12_06715	CDS	complement(1493915..1495306)	phosphoglucosamine mutase
chg:AXF12_06720	CDS	1495990..1497570	hypothetical protein
chg:AXF12_06725	CDS	1497738..1498430	hypothetical protein
chg:AXF12_06730	CDS	1498476..1499504	hypothetical protein
chg:AXF12_06735	CDS	1499523..1499933	hypothetical protein
chg:AXF12_06740	CDS	1500206..1501555	NADH:ubiquinone reductase (Na(+)-transporting) subunit A
chg:AXF12_06745	CDS	1501569..1502789	NADH:ubiquinone reductase (Na(+)-transporting) subunit B
chg:AXF12_06750	gene	1502793..1503514	pseudogene
chg:AXF12_06755	CDS	1503519..1504166	NADH:ubiquinone reductase (Na(+)-transporting) subunit D
chg:AXF12_06760	CDS	1504231..1504914	NADH:ubiquinone reductase (Na(+)-transporting) subunit E
chg:AXF12_06765	gene	1504898..1506213	pseudogene
chg:AXF12_06770	CDS	complement(1506274..1506936)	hypothetical protein
chg:AXF12_06775	CDS	complement(1506961..1507635)	hypothetical protein
chg:AXF12_06780	CDS	complement(1507632..1509290)	DNA repair protein RecN
chg:AXF12_06785	CDS	complement(1509297..1510181)	hypothetical protein
chg:AXF12_06790	CDS	complement(1510266..1511252)	hypothetical protein
chg:AXF12_06795	CDS	complement(1511804..1512430)	hypothetical protein
chg:AXF12_06800	CDS	complement(1512439..1513563)	3,4-dihydroxy-2-butanone 4-phosphate synthase
chg:AXF12_06805	CDS	complement(1513877..1514521)	hypothetical protein
chg:AXF12_06810	CDS	complement(1514544..1514888)	hypothetical protein
chg:AXF12_06815	CDS	complement(1514942..1515229)	hypothetical protein
chg:AXF12_06820	CDS	complement(1515222..1515680)	hypothetical protein
chg:AXF12_06825	CDS	complement(1515687..1516580)	hypothetical protein
chg:AXF12_06830	CDS	complement(1516749..1518005)	hypothetical protein
chg:AXF12_06835	CDS	complement(1518280..1518828)	hypothetical protein
chg:AXF12_06840	CDS	complement(1518825..1520354)	ATPase
chg:AXF12_06845	CDS	complement(1520535..1521671)	hypothetical protein
chg:AXF12_06850	CDS	complement(1521840..1522364)	hypothetical protein
chg:AXF12_06855	CDS	complement(1522585..1523142)	hypothetical protein
chg:AXF12_06860	CDS	1523306..1523893	hypothetical protein
chg:AXF12_06865	CDS	1524058..1525626	hypothetical protein
chg:AXF12_06870	CDS	1525740..1526285	maltose acetyltransferase
chg:AXF12_06875	CDS	1526300..1527418	N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA
chg:AXF12_06880	CDS	complement(1527518..1528471)	GHMP kinase
chg:AXF12_06885	CDS	1528538..1529461	hypothetical protein
chg:AXF12_06890	CDS	1529497..1530549	4-hydroxythreonine-4-phosphate dehydrogenase
chg:AXF12_06895	CDS	1530573..1531451	exopolyphosphatase
chg:AXF12_06900	CDS	1531859..1533190	signal recognition particle
chg:AXF12_06905	CDS	1533271..1533468	hypothetical protein
chg:AXF12_06910	CDS	1533867..1534082	hypothetical protein
chg:AXF12_06915	CDS	1534136..1534387	hypothetical protein
chg:AXF12_06920	CDS	1534409..1535005	hypothetical protein
chg:AXF12_06925	CDS	1535079..1535960	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase
chg:AXF12_06930	gene	1536259..1538546	pseudogene
chg:AXF12_06935	CDS	complement(1538611..1539663)	hypothetical protein
chg:AXF12_06940	CDS	complement(1539688..1541457)	hypothetical protein
chg:AXF12_06945	CDS	complement(1541544..1543640)	tail-specific protease
chg:AXF12_06950	CDS	complement(1543743..1544684)	transcriptional regulator
chg:AXF12_06955	CDS	complement(1544724..1545638)	5,10-methylene tetrahydromethanopterin reductase
chg:AXF12_06960	CDS	complement(1545749..1545970)	hypothetical protein
chg:AXF12_06965	CDS	complement(1545987..1547924)	hypothetical protein
chg:AXF12_06970	CDS	complement(1548000..1548350)	hypothetical protein
chg:AXF12_06975	CDS	complement(1548705..1550027)	MFS transporter permease
chg:AXF12_06980	CDS	complement(1550049..1550993)	hypothetical protein
chg:AXF12_06985	CDS	complement(1551063..1551572)	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase
chg:AXF12_06990	CDS	complement(1551553..1552323)	hypothetical protein
chg:AXF12_06995	CDS	1553053..1554366	magnesium transporter
chg:AXF12_07000	CDS	complement(1554434..1555729)	hypothetical protein
chg:AXF12_07005	CDS	complement(1555750..1556262)	NUDIX hydrolase
chg:AXF12_07010	CDS	1556353..1556955	thioredoxin
chg:AXF12_07015	CDS	1557009..1557305	hypothetical protein
chg:AXF12_07020	CDS	1557312..1557791	hypothetical protein
chg:AXF12_07025	CDS	1557796..1558737	glycosyl transferase family 2
chg:AXF12_07030	CDS	1558797..1560281	cysteine--tRNA ligase
chg:AXF12_07035	CDS	1560426..1560776	hypothetical protein
chg:AXF12_07040	CDS	1561008..1563332	TonB-dependent receptor
chg:AXF12_07045	CDS	1563385..1563849	hypothetical protein
chg:AXF12_07050	CDS	1563851..1564600	hypothetical protein
chg:AXF12_07055	CDS	1564625..1565533	hypothetical protein
chg:AXF12_07060	CDS	1565947..1567575	1-pyrroline-5-carboxylate dehydrogenase
chg:AXF12_07065	CDS	1567646..1569340	potassium transporter TrkA
chg:AXF12_07070	CDS	1569388..1569693	hypothetical protein
chg:AXF12_07075	CDS	1569707..1570474	chromosome partitioning protein ParA
chg:AXF12_07080	CDS	1570479..1571411	chromosome partitioning protein ParB
chg:AXF12_07085	CDS	1571404..1572015	hypothetical protein
chg:AXF12_07090	CDS	complement(1572084..1572869)	ribonuclease
chg:AXF12_07095	CDS	complement(1572885..1575323)	aspartate kinase
chg:AXF12_07100	CDS	complement(1575392..1576306)	tRNA dimethylallyltransferase
chg:AXF12_07105	CDS	complement(1576293..1577171)	ion transporter
chg:AXF12_07110	CDS	complement(1577168..1577878)	phospholipase
chg:AXF12_07115	CDS	complement(1577931..1579178)	dihydroorotase
chg:AXF12_07120	CDS	1579895..1580893	ATPase
chg:AXF12_07125	gene	1580966..1581828	pseudogene
chg:AXF12_07130	CDS	1581867..1583489	hypothetical protein
chg:AXF12_07135	CDS	1583502..1584500	aerotolerance regulator BatA
chg:AXF12_07140	CDS	1584824..1586098	glutamate dehydrogenase
chg:AXF12_07145	CDS	1586172..1587041	epimerase
chg:AXF12_07150	gene	complement(1587309..1587629)	pseudogene
chg:AXF12_07155	CDS	1588169..1589236	class II fructose-bisphosphate aldolase
chg:AXF12_07160	CDS	1589333..1590064	permease
chg:AXF12_07165	CDS	1590167..1591252	capsule biosynthesis protein CapA
chg:AXF12_07170	CDS	1591332..1592141	peptidase
chg:AXF12_07175	CDS	complement(1592253..1593140)	lipoyl synthase
chg:AXF12_07180	CDS	1593355..1594074	gliding motility-associated ABC transporter permease subunit GldF
chg:AXF12_07185	CDS	1594071..1595777	gliding motility-associated ABC transporter substrate-binding protein GldG
chg:AXF12_07190	CDS	complement(1595866..1598004)	peptidase S46
chg:AXF12_07195	CDS	1598678..1599640	D-arabinose 5-phosphate isomerase
chg:AXF12_07200	CDS	1599897..1600238	30S ribosomal protein S6
chg:AXF12_07205	CDS	1600243..1600521	30S ribosomal protein S18
chg:AXF12_07210	CDS	1600539..1601066	50S ribosomal protein L9
chg:AXF12_07215	CDS	1601218..1603896	hypothetical protein
chg:AXF12_07220	CDS	complement(1603983..1604894)	cysteine synthase
chg:AXF12_07225	CDS	complement(1604971..1605813)	serine acetyltransferase
chg:AXF12_07230	CDS	complement(1606045..1607550)	glutamate--tRNA ligase
chg:AXF12_07235	CDS	complement(1607564..1608226)	aspartate kinase
chg:AXF12_07240	CDS	complement(1608248..1608607)	hypothetical protein
chg:AXF12_07245	CDS	1609167..1610360	tRNA(5-methylaminomethyl-2-thiouridylate)-methyltransferase
chg:AXF12_07250	CDS	complement(1610546..1612237)	energy-dependent translational throttle protein EttA
chg:AXF12_07255	CDS	complement(1612258..1612878)	translation factor Sua5
chg:AXF12_07260	CDS	complement(1612883..1613299)	thioesterase
chg:AXF12_07265	CDS	complement(1613374..1614459)	magnesium transporter
chg:AXF12_07270	CDS	complement(1614731..1615411)	short-chain dehydrogenase
chg:AXF12_07275	CDS	complement(1615728..1616069)	hypothetical protein
chg:AXF12_07280	CDS	complement(1616110..1617561)	sugar isomerase
chg:AXF12_07285	CDS	complement(1617562..1618911)	hypothetical protein
chg:AXF12_07290	CDS	1619391..1619921	cyclic nucleotide-binding protein
chg:AXF12_07295	CDS	1620320..1620958	hypothetical protein
chg:AXF12_07300	CDS	1621184..1622191	nitroreductase
chg:AXF12_07305	CDS	1622692..1625148	hypothetical protein
chg:AXF12_07310	CDS	1625277..1626278	2-dehydropantoate 2-reductase
chg:AXF12_07315	CDS	1626464..1627108	hypothetical protein
chg:AXF12_07320	CDS	1627150..1627974	hypothetical protein
chg:AXF12_07325	CDS	1627965..1628456	hypothetical protein
chg:AXF12_07330	CDS	1628453..1628923	hypothetical protein
chg:AXF12_07335	CDS	1628979..1629611	hypothetical protein
chg:AXF12_07340	CDS	complement(1630131..1630691)	hypothetical protein
chg:AXF12_07345	CDS	complement(1631001..1631366)	hypothetical protein
chg:AXF12_07350	CDS	complement(1631967..1632515)	hypothetical protein
chg:AXF12_07355	CDS	complement(1632633..1634621)	hypothetical protein
chg:AXF12_07360	CDS	complement(1634762..1635334)	hypothetical protein
chg:AXF12_07365	CDS	1635816..1636889	peptidase M14
chg:AXF12_07370	CDS	1636993..1637472	transcriptional regulator
chg:AXF12_07375	CDS	1637604..1638323	methyltransferase type 11
chg:AXF12_07380	tRNA	1638448..1638527	tRNA-Leu
chg:AXF12_07385	CDS	1638778..1640397	ABC transporter ATP-binding protein
chg:AXF12_07390	CDS	1640819..1642651	hypothetical protein
chg:AXF12_07395	CDS	1642925..1643578	hypothetical protein
chg:AXF12_07400	CDS	1643615..1644061	transcription activator effector-binding protein
chg:AXF12_07405	CDS	1644140..1644586	transcription activator effector-binding protein
chg:AXF12_07410	gene	1644716..1645510	pseudogene
chg:AXF12_07415	CDS	1645992..1646513	hypothetical protein
chg:AXF12_07420	CDS	1646603..1647712	hypothetical protein
chg:AXF12_07425	CDS	1647738..1648430	(alpha)-aspartyl dipeptidase
chg:AXF12_07430	CDS	1648545..1649804	hypothetical protein
chg:AXF12_07435	CDS	1649891..1650643	pseudouridine synthase
chg:AXF12_07440	CDS	1650700..1651224	hypothetical protein
chg:AXF12_07445	CDS	complement(1651341..1651958)	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
chg:AXF12_07450	CDS	1652044..1652265	hypothetical protein
chg:AXF12_07455	CDS	1652244..1652945	hypothetical protein
chg:AXF12_07460	CDS	complement(1653167..1653964)	hypothetical protein
chg:AXF12_07465	CDS	complement(1654551..1655750)	hypothetical protein
chg:AXF12_07470	CDS	1656011..1657015	hypothetical protein
chg:AXF12_07475	CDS	complement(1657137..1657853)	hypothetical protein
chg:AXF12_07480	CDS	complement(1657987..1659015)	hypothetical protein
chg:AXF12_07485	CDS	complement(1659165..1661012)	ABC transporter
chg:AXF12_07490	CDS	complement(1661225..1662682)	aminoacyl-histidine dipeptidase
chg:AXF12_07495	CDS	complement(1662823..1665045)	patatin
chg:AXF12_07500	CDS	1665578..1666114	hypothetical protein
chg:AXF12_07505	CDS	complement(1666183..1666875)	CidB/LrgB family autolysis modulator
chg:AXF12_07510	CDS	complement(1666872..1667255)	murein hydrolase transporter LrgA
chg:AXF12_07515	CDS	1667414..1668367	hypothetical protein
chg:AXF12_07520	CDS	1668489..1670906	alpha-L-fucosidase
chg:AXF12_07525	CDS	1671079..1671825	SAM-dependent methyltransferase
chg:AXF12_07530	CDS	1672065..1674143	phosphate acetyltransferase
chg:AXF12_07535	CDS	1674185..1675387	acetate kinase
chg:AXF12_07540	CDS	complement(1675445..1676233)	hypothetical protein
chg:AXF12_07545	CDS	complement(1676230..1677048)	dihydropteroate synthase
chg:AXF12_07550	CDS	complement(1677078..1678151)	hypothetical protein
chg:AXF12_07555	CDS	complement(1678152..1679282)	tgt; tRNA guanosine(34) transglycosylase Tgt
chg:AXF12_07560	CDS	complement(1679429..1679689)	hypothetical protein
chg:AXF12_07565	CDS	1680355..1681017	hypothetical protein
chg:AXF12_07570	CDS	1681059..1681616	hypothetical protein
chg:AXF12_07575	CDS	1681740..1682849	hypothetical protein
chg:AXF12_07580	CDS	1682853..1683467	hypothetical protein
chg:AXF12_07585	CDS	complement(1683487..1684440)	hypothetical protein
chg:AXF12_07590	CDS	1684611..1686032	serine dehydratase
chg:AXF12_07595	CDS	1686051..1686821	16S rRNA methyltransferase
chg:AXF12_07600	CDS	1686864..1688219	magnesium transporter
chg:AXF12_07605	CDS	complement(1688333..1689034)	hypothetical protein
chg:AXF12_07610	CDS	1689414..1690118	biopolymer transporter ExbB
chg:AXF12_07615	CDS	1690229..1690615	biopolymer transporter ExbD
chg:AXF12_07620	CDS	1690639..1691469	energy transducer TonB
chg:AXF12_07625	CDS	1691601..1692815	tetrahydrofolate synthase
chg:AXF12_07630	tRNA	1693054..1693128	tRNA-Val
chg:AXF12_07635	tRNA	1693167..1693244	tRNA-Val
chg:AXF12_07640	tRNA	1693277..1693354	tRNA-Val
chg:AXF12_07645	CDS	complement(1693441..1693800)	hypothetical protein
chg:AXF12_07650	CDS	complement(1693831..1694241)	hypothetical protein
chg:AXF12_07655	CDS	complement(1694398..1696506)	ATP-dependent DNA helicase RecG
chg:AXF12_07660	CDS	complement(1696660..1699371)	hypothetical protein
chg:AXF12_07665	CDS	complement(1699638..1700843)	hypothetical protein
chg:AXF12_07670	CDS	complement(1700905..1702341)	carbohydrate-binding protein
chg:AXF12_07675	CDS	complement(1702353..1705376)	SusC/RagA family TonB-linked outer membrane protein
chg:AXF12_07680	CDS	complement(1705606..1705869)	hypothetical protein
chg:AXF12_07685	CDS	1706069..1706350	hypothetical protein
chg:AXF12_07690	CDS	complement(1706546..1707067)	hypothetical protein
chg:AXF12_07695	CDS	complement(1707346..1708221)	protein-(glutamine-N5) methyltransferase, release factor-specific
chg:AXF12_07700	CDS	complement(1708226..1709293)	mannosyl-glycoprotein endo-beta-N-acetylglucosamidase
chg:AXF12_07705	CDS	complement(1709277..1710224)	1-aminocyclopropane-1-carboxylate deaminase
chg:AXF12_07710	CDS	complement(1710243..1711484)	ABC transporter permease
chg:AXF12_07715	CDS	1711989..1713161	N-acylglucosamine 2-epimerase
chg:AXF12_07720	CDS	1713258..1714385	hypothetical protein
chg:AXF12_07725	CDS	1714442..1715686	MFS transporter
chg:AXF12_07730	CDS	1715783..1716703	N-acetylneuraminate lyase
chg:AXF12_07735	CDS	complement(1717020..1718963)	glucosamine-6-phosphate deaminase
chg:AXF12_07740	CDS	complement(1719137..1721338)	hypothetical protein
chg:AXF12_07745	CDS	1721394..1721933	translation factor Sua5
chg:AXF12_07750	CDS	complement(1722350..1723060)	hypothetical protein
chg:AXF12_07755	CDS	complement(1723084..1723482)	hypothetical protein
chg:AXF12_07760	CDS	1723676..1723903	hypothetical protein
chg:AXF12_07765	CDS	1725043..1725414	hypothetical protein
chg:AXF12_07770	CDS	1725521..1728364	hypothetical protein
chg:AXF12_07775	CDS	1728370..1728639	hypothetical protein
chg:AXF12_07780	CDS	1728917..1729159	hypothetical protein
chg:AXF12_07785	CDS	1729156..1729542	hypothetical protein
chg:AXF12_07790	CDS	1729717..1731519	hypothetical protein
chg:AXF12_07795	CDS	1731536..1732315	hypothetical protein
chg:AXF12_07800	CDS	1732320..1732730	hypothetical protein
chg:AXF12_07805	CDS	1732735..1733346	hypothetical protein
chg:AXF12_07810	CDS	1733390..1733848	hypothetical protein
chg:AXF12_07815	CDS	1733912..1734499	hypothetical protein
chg:AXF12_07820	CDS	1734591..1734959	hypothetical protein
chg:AXF12_07825	CDS	1734995..1735300	hypothetical protein
chg:AXF12_07830	CDS	1735304..1736224	hypothetical protein
chg:AXF12_07835	CDS	1736394..1736921	hypothetical protein
chg:AXF12_07840	CDS	1736933..1737505	hypothetical protein
chg:AXF12_07845	CDS	1737510..1738043	hypothetical protein
chg:AXF12_07850	CDS	1738054..1738308	hypothetical protein
chg:AXF12_07855	gene	1738322..1738696	pseudogene
chg:AXF12_07860	CDS	1738980..1739483	hypothetical protein
chg:AXF12_07865	CDS	1739572..1740078	hypothetical protein
chg:AXF12_07870	CDS	1740078..1740536	hypothetical protein
chg:AXF12_07875	CDS	1740616..1741155	hypothetical protein
chg:AXF12_07880	CDS	1741167..1741634	hypothetical protein
chg:AXF12_07885	CDS	1742055..1742276	hypothetical protein
chg:AXF12_07890	CDS	1742288..1742851	hypothetical protein
chg:AXF12_07895	CDS	1742867..1746592	hypothetical protein
chg:AXF12_07900	CDS	1746604..1746813	hypothetical protein
chg:AXF12_07905	CDS	1747305..1747817	hypothetical protein
chg:AXF12_07910	CDS	complement(1748181..1749341)	hypothetical protein
chg:AXF12_07915	tRNA	complement(1749488..1749563)	tRNA-Met
chg:AXF12_07920	CDS	complement(1749639..1750745)	alanine racemase
chg:AXF12_07925	CDS	complement(1750748..1751518)	enoyl-CoA hydratase
chg:AXF12_07930	tRNA	1751583..1751659	tRNA-Ala
chg:AXF12_07935	CDS	complement(1751693..1752358)	GTP cyclohydrolase
chg:AXF12_07940	CDS	complement(1752432..1754900)	Lon protease
chg:AXF12_07945	CDS	complement(1755064..1756089)	dihydroorotate dehydrogenase
chg:AXF12_07950	CDS	complement(1756485..1756757)	MerR family transcriptional regulator
chg:AXF12_07955	CDS	complement(1756763..1757674)	molecular chaperone DnaJ
chg:AXF12_07960	CDS	1758373..1759623	sterol 3-beta-glucosyltransferase
chg:AXF12_07965	CDS	complement(1759630..1760067)	hypothetical protein
chg:AXF12_07970	CDS	complement(1760161..1761126)	hypothetical protein
chg:AXF12_07975	CDS	complement(1761212..1762621)	hypothetical protein
chg:AXF12_07980	CDS	1762734..1763531	transposase
chg:AXF12_07985	CDS	complement(1763728..1765599)	membrane protein insertase YidC
chg:AXF12_07990	CDS	complement(1765637..1767259)	CTP synthetase
chg:AXF12_07995	CDS	complement(1767354..1767914)	hypothetical protein
chg:AXF12_08000	CDS	complement(1767920..1768267)	hypothetical protein
chg:AXF12_08005	CDS	complement(1768365..1768793)	hypothetical protein
chg:AXF12_08010	CDS	complement(1768977..1769723)	gpmA; phosphoglyceromutase
chg:AXF12_08015	CDS	complement(1769797..1772469)	hypothetical protein
chg:AXF12_08020	CDS	1773042..1774229	aspartate aminotransferase
chg:AXF12_08025	CDS	1774353..1775270	hypothetical protein
chg:AXF12_08030	CDS	1775328..1775735	hypothetical protein
chg:AXF12_08035	CDS	1775876..1777930	hypothetical protein
chg:AXF12_08040	CDS	1777951..1778790	hypothetical protein
chg:AXF12_08045	CDS	1778824..1779180	hypothetical protein
chg:AXF12_08050	CDS	1779296..1780237	prolipoprotein diacylglyceryl transferase
chg:AXF12_08055	CDS	1780289..1780807	hypothetical protein
chg:AXF12_08060	CDS	1780834..1781346	isopentenyl-diphosphate delta-isomerase
chg:AXF12_08065	CDS	1781390..1781644	hypothetical protein
chg:AXF12_08070	CDS	complement(1781765..1782622)	agmatinase
chg:AXF12_08075	CDS	complement(1782647..1784302)	ribonucleotide-diphosphate reductase subunit alpha
chg:AXF12_08080	CDS	1784604..1785431	hypothetical protein
chg:AXF12_08085	CDS	1785715..1787439	transcription termination factor Rho
chg:AXF12_08090	tRNA	1787597..1787684	tRNA-Ser
chg:AXF12_08095	CDS	1787778..1790033	alpha-mannosidase
